frame_start,frames,status_flags,input_adc_time,current_time,output_dac_time,perf_counter_ns
0,512,0,141699.63057108302,141699.72125595802,141699.81740441633,141699721714708
512,512,0,141699.6412377497,141699.72125595802,141699.828071083,141699721793375
1024,512,0,141699.65190441636,141699.72125595802,141699.83873774967,141699721847750
1536,512,0,141699.66257108303,141699.72125595802,141699.84940441634,141699721887583
2048,512,0,141699.6732377497,141699.72125595802,141699.860071083,141699721927833
2560,512,0,141699.68390441636,141699.72125595802,141699.87073774968,141699721977083
3072,512,0,141699.69457108303,141699.72125595802,141699.88140441634,141699722015041
3584,512,0,141699.7052377497,141699.72125595802,141699.892071083,141699722051166
4096,512,0,141699.71590441602,141699.80661325,141699.90273774933,141699806903041
4608,512,0,141699.7265710827,141699.80661325,141699.913404416,141699806954625
5120,512,0,141699.73723774936,141699.80661325,141699.92407108267,141699807013916
5632,512,0,141699.74790441603,141699.80661325,141699.93473774934,141699807055791
6144,512,0,141699.7585710827,141699.80661325,141699.945404416,141699807096541
6656,512,0,141699.76923774937,141699.80661325,141699.95607108268,141699807140000
7168,512,0,141699.77990441603,141699.80661325,141699.96673774935,141699807181791
7680,512,0,141699.7905710827,141699.80661325,141699.97740441601,141699807219125
8192,512,0,141699.80123775,141699.891901958,141699.98807108332,141699892153916
8704,512,0,141699.81190441668,141699.891901958,141699.99873775,141699892205041
9216,512,0,141699.82257108335,141699.891901958,141700.00940441666,141699892258916
9728,512,0,141699.83323775002,141699.891901958,141700.02007108333,141699892299916
10240,512,0,141699.8439044167,141699.891901958,141700.03073775,141699892337000
10752,512,0,141699.85457108336,141699.891901958,141700.04140441667,141699892379958
11264,512,0,141699.86523775003,141699.891901958,141700.05207108334,141699892422666
11776,512,0,141699.8759044167,141699.891901958,141700.06273775,141699892459208
12288,512,0,141699.886571083,141699.977167208,141700.07340441633,141699977406541
12800,512,0,141699.89723774968,141699.977167208,141700.084071083,141699977456458
13312,512,0,141699.90790441635,141699.977167208,141700.09473774966,141699977507583
13824,512,0,141699.91857108302,141699.977167208,141700.10540441633,141699977545625
14336,512,0,141699.9292377497,141699.977167208,141700.116071083,141699977585125
14848,512,0,141699.93990441636,141699.977167208,141700.12673774967,141699977627750
15360,512,0,141699.95057108303,141699.977167208,141700.13740441634,141699977665333
15872,512,0,141699.9612377497,141699.977167208,141700.148071083,141699977701833
16384,512,0,141699.97190441602,141700.062454583,141700.15873774933,141700062663541
16896,512,0,141699.98257108268,141700.062454583,141700.169404416,141700062711958
17408,512,0,141699.99323774935,141700.062454583,141700.18007108266,141700062756666
17920,512,0,141700.00390441602,141700.062454583,141700.19073774933,141700062794708
18432,512,0,141700.0145710827,141700.062454583,141700.201404416,141700062833166
18944,512,0,141700.02523774936,141700.062454583,141700.21207108267,141700062874958
19456,512,0,141700.03590441603,141700.062454583,141700.22273774934,141700062922458
19968,512,0,141700.0465710827,141700.062454583,141700.233404416,141700062960125
20480,512,0,141700.05723750003,141700.14777825002,141700.24407083335,141700147999916
20992,512,0,141700.0679041667,141700.14777825002,141700.2547375,141700148049458
21504,512,0,141700.07857083337,141700.14777825002,141700.26540416668,141700148093291
22016,512,0,141700.08923750004,141700.14777825002,141700.27607083335,141700148131833
