run_type,source_stem,position_index,reference_angle_commanded_deg,reference_angle_normalized_deg,is_closure_measurement,sample_count,elapsed_mid_s,yaw_sign_corrected_mean_deg,yaw_drift_corrected_mean_deg,error_sign_corrected_mean_deg,error_sign_corrected_sd_deg,error_drift_corrected_mean_deg,error_drift_corrected_sd_deg,yaw_sign_corrected_sd_deg,yaw_drift_corrected_sd_deg
ascending,segmented_ascending_20260717_121716,0,0.0,0.0,False,327,3.9850732886850153,358.7074262709936,1.7875280247811067,-1.2925737290064176,0.24518381661938443,1.7875280247811067,0.15117794028517842,0.2451838166193845,0.15117794028517842
ascending,segmented_ascending_20260717_121716,1,10.0,10.0,False,327,27.504643334556576,5.763868093635687,9.801964869137315,-4.236131906364313,0.17043940170713995,-0.19803513086268434,0.07823604409796751,0.17043940170713956,0.07823604409796765
ascending,segmented_ascending_20260717_121716,2,20.0,20.0,False,327,55.844605705198774,14.830111560215972,20.022546736193846,-5.169888439784028,0.11686792897731933,0.0225467361938464,0.023467743879075582,0.11686792897731911,0.02346774387907646
ascending,segmented_ascending_20260717_121716,3,30.0,30.0,False,326,79.15399504417178,23.660455641193884,29.80232479501999,-6.339544358806117,0.11529421526070593,-0.19767520498000796,0.022152463710309187,0.11529421526070577,0.022152463710309597
ascending,segmented_ascending_20260717_121716,4,40.0,40.0,False,326,98.68037873558282,32.9402273192756,39.877441725245674,-7.059772680724399,0.11263545611661888,-0.12255827475432733,0.019399455395517445,0.11263545611661831,0.01939945539551728
ascending,segmented_ascending_20260717_121716,5,50.0,50.0,False,331,116.94142506495469,41.94759369992397,49.62861385747493,-8.052406300076031,0.11510728178099892,-0.37138614252506696,0.02034412547980575,0.11510728178099854,0.020344125479806657
ascending,segmented_ascending_20260717_121716,6,60.0,60.0,False,326,138.98848472668712,50.8960461821576,59.47508332548595,-9.103953817842402,0.08982772068042598,-0.5249166745140557,0.007206175453883311,0.08982772068042603,0.00720617545388286
ascending,segmented_ascending_20260717_121716,7,70.0,70.0,False,327,157.38119472446482,60.517664902653344,69.8458706991219,-9.482335097346656,0.08584478529160396,-0.15412930087810123,0.009852082050608118,0.08584478529160328,0.009852082050608158
ascending,segmented_ascending_20260717_121716,8,80.0,80.0,False,327,174.7609293498471,69.50112127936477,79.53723539292227,-10.498878720635235,0.0923346833820961,-0.46276460707773454,0.004822249774283931,0.09233468338209518,0.004822249774284051
ascending,segmented_ascending_20260717_121716,9,90.0,90.0,False,326,196.98550776871164,78.83979231035283,89.78115407271693,-11.16020768964716,0.09034918383969896,-0.21884592728307403,0.006626325719702241,0.09034918383969821,0.006626325719702233
ascending,segmented_ascending_20260717_121716,10,100.0,100.0,False,326,217.67465543527607,88.24828912037968,100.03235763416058,-11.751710879620324,0.0932387433858571,0.03235763416057981,0.0049924495457684456,0.09323874338585691,0.004992449545769001
ascending,segmented_ascending_20260717_121716,11,110.0,110.0,False,327,235.4672132853211,97.54233786321028,110.05112973760787,-12.457662136789718,0.09805770196568503,0.051129737607866356,0.005558837829466009,0.09805770196568507,0.005558837829465952
ascending,segmented_ascending_20260717_121716,12,120.0,120.0,False,328,254.2456632554878,106.97207682905486,120.24574924981621,-13.027923170945137,0.09686038676498851,0.24574924981621454,0.004738568562067549,0.09686038676498829,0.004738568562067969
ascending,segmented_ascending_20260717_121716,13,130.0,130.0,False,326,278.7308319911043,116.02945297313073,130.30045101288943,-13.970547026869273,0.11352971772623531,0.3004510128894308,0.0204107722530389,0.11352971772623496,0.0204107722530389
ascending,segmented_ascending_20260717_121716,14,140.0,140.0,False,328,298.09012897134147,125.21544367981114,140.27498122495965,-14.784556320188855,0.09695284156868615,0.2749812249596416,0.005580178989623167,0.09695284156868546,0.005580178989623167
ascending,segmented_ascending_20260717_121716,15,150.0,150.0,False,326,317.03646203067484,134.61702474722128,150.4482810234171,-15.382975252778719,0.09470791662981543,0.4482810234171105,0.0045218487678817055,0.09470791662981543,0.0045218487678817055
ascending,segmented_ascending_20260717_121716,16,160.0,160.0,False,326,336.6765761739264,143.7972002669414,160.42843424419362,-16.20279973305861,0.09686483892242365,0.42843424419363835,0.009191271675909668,0.09686483892242365,0.009191271675909668
ascending,segmented_ascending_20260717_121716,17,170.0,170.0,False,326,354.5802486797546,153.28386583614335,170.64434907677634,-16.716134163856648,0.10840496104919979,0.6443490767763257,0.0153408677143662,0.10840496104919979,0.0153408677143662
