frame_start,frames,status_flags,input_adc_time,current_time,output_dac_time,perf_counter_ns
0,512,0,141738.049367708,141738.14011120802,141738.23620104132,141738140507291
512,512,0,141738.06003437468,141738.14011120802,141738.246867708,141738140577208
1024,512,0,141738.07070104135,141738.14011120802,141738.25753437466,141738140625750
1536,512,0,141738.08136770802,141738.14011120802,141738.26820104133,141738140665375
2048,512,0,141738.09203437468,141738.14011120802,141738.278867708,141738140716125
2560,512,0,141738.10270104135,141738.14011120802,141738.28953437466,141738140759833
3072,512,0,141738.11336770802,141738.14011120802,141738.30020104133,141738140800125
3584,512,0,141738.1240343747,141738.14011120802,141738.310867708,141738140857625
4096,512,0,141738.134701041,141738.225286875,141738.32153437432,141738225548500
4608,512,0,141738.14536770768,141738.225286875,141738.332201041,141738225598083
5120,512,0,141738.15603437435,141738.225286875,141738.34286770766,141738225646041
5632,512,0,141738.16670104102,141738.225286875,141738.35353437433,141738225687791
6144,512,0,141738.17736770769,141738.225286875,141738.364201041,141738225727583
6656,512,0,141738.18803437435,141738.225286875,141738.37486770767,141738225771708
7168,512,0,141738.19870104102,141738.225286875,141738.38553437433,141738225832541
7680,512,0,141738.2093677077,141738.225286875,141738.396201041,141738225869875
8192,512,0,141738.22003437503,141738.310677625,141738.40686770834,141738310952291
8704,512,0,141738.2307010417,141738.310677625,141738.417534375,141738311004041
9216,512,0,141738.24136770837,141738.310677625,141738.42820104168,141738311050833
9728,512,0,141738.25203437504,141738.310677625,141738.43886770835,141738311091458
10240,512,0,141738.2627010417,141738.310677625,141738.44953437502,141738311130916
10752,512,0,141738.27336770837,141738.310677625,141738.4602010417,141738311173708
11264,512,0,141738.28403437504,141738.310677625,141738.47086770835,141738311214166
11776,512,0,141738.2947010417,141738.310677625,141738.48153437502,141738311251500
12288,512,0,141738.30536770803,141738.39591475,141738.49220104134,141738396130916
12800,512,0,141738.3160343747,141738.39591475,141738.502867708,141738396181125
13312,512,0,141738.32670104137,141738.39591475,141738.51353437468,141738396232250
13824,512,0,141738.33736770804,141738.39591475,141738.52420104135,141738396271750
14336,512,0,141738.3480343747,141738.39591475,141738.53486770802,141738396312833
14848,512,0,141738.35870104138,141738.39591475,141738.5455343747,141738396355833
15360,512,0,141738.36936770804,141738.39591475,141738.55620104136,141738396393708
15872,512,0,141738.3800343747,141738.39591475,141738.56686770802,141738396430833
16384,512,0,141738.39070104103,141738.481198125,141738.57753437434,141738481397041
16896,512,0,141738.4013677077,141738.481198125,141738.588201041,141738481445375
17408,512,0,141738.41203437437,141738.481198125,141738.59886770768,141738481491625
17920,512,0,141738.42270104104,141738.481198125,141738.60953437435,141738481530083
18432,512,0,141738.4333677077,141738.481198125,141738.62020104102,141738481567083
18944,512,0,141738.44403437438,141738.481198125,141738.6308677077,141738481609541
19456,512,0,141738.45470104105,141738.481198125,141738.64153437436,141738481649208
19968,512,0,141738.46536770771,141738.481198125,141738.65220104103,141738481686500
20480,512,0,141738.47603437502,141738.566525958,141738.66286770834,141738566714375
20992,512,0,141738.4867010417,141738.566525958,141738.673534375,141738566762875
21504,512,0,141738.49736770836,141738.566525958,141738.68420104167,141738566807416
22016,512,0,141738.50803437503,141738.566525958,141738.69486770834,141738566845208
22528,512,0,141738.5187010417,141738.566525958,141738.705534375,141738566883500
23040,512,0,141738.52936770837,141738.566525958,141738.71620104168,141738566925041
23552,512,0,141738.54003437504,141738.566525958,141738.72686770835,141738566964208
24064,512,0,141738.5507010417,141738.566525958,141738.73753437502,141738567000458
24576,512,0,141738.56136770803,141738.651935708,141738.74820104134,141738652173166
25088,512,0,141738.5720343747,141738.651935708,141738.758867708,141738652244166
25600,512,0,141738.58270104136,141738.651935708,141738.76953437467,141738652288166
26112,512,0,141738.59336770803,141738.651935708,141738.78020104134,141738652326250
26624,512,0,141738.6040343747,141738.651935708,141738.790867708,141738652364708
27136,512,0,141738.61470104137,141738.651935708,141738.80153437468,141738652407250
27648,512,0,141738.62536770804,141738.651935708,141738.81220104135,141738652446250
28160,512,0,141738.6360343747,141738.651935708,141738.82286770802,141738652482458
28672,512,0,141738.64670104103,141738.737379,141738.83353437434,141738737648583
29184,512,0,141738.6573677077,141738.737379,141738.844201041,141738737704083
29696,512,0,141738.66803437436,141738.737379,141738.85486770768,141738737758666
30208,512,0,141738.67870104103,141738.737379,141738.86553437434,141738737797375
30720,512,0,141738.6893677077,141738.737379,141738.876201041,141738737856625
31232,512,0,141738.70003437437,141738.737379,141738.88686770768,141738737902375
31744,512,0,141738.71070104104,141738.737379,141738.89753437435,141738737942583
32256,512,0,141738.7213677077,141738.737379,141738.90820104102,141738737979791
32768,512,0,141738.7320375,141738.82266066602,141738.91887083332,141738822945416
33280,512,0,141738.74270416668,141738.82266066602,141738.9295375,141738822994916
33792,512,0,141738.75337083335,141738.82266066602,141738.94020416666,141738823044750
34304,512,0,141738.76403750002,141738.82266066602,141738.95087083333,141738823082708
34816,512,0,141738.7747041667,141738.82266066602,141738.9615375,141738823121500
35328,512,0,141738.78537083336,141738.82266066602,141738.97220416667,141738823163500
35840,512,0,141738.79603750003,141738.82266066602,141738.98287083334,141738823200875
36352,512,0,141738.8067041667,141738.82266066602,141738.9935375,141738823237083
36864,512,0,141738.81737125,141738.908031541,141739.00420458333,141738908313916
37376,512,0,141738.82803791668,141738.908031541,141739.01487125,141738908373291
37888,512,0,141738.83870458335,141738.908031541,141739.02553791666,141738908422000
38400,512,0,141738.84937125002,141738.908031541,141739.03620458333,141738908460250
38912,512,0,141738.8600379167,141738.908031541,141739.04687125,141738908506833
39424,512,0,141738.87070458336,141738.908031541,141739.05753791667,141738908551958
39936,512,0,141738.88137125003,141738.908031541,141739.06820458334,141738908594333
40448,512,0,141738.8920379167,141738.908031541,141739.07887125,141738908636208
40960,512,0,141738.90270495802,141738.99336012502,141739.08953829133,141738993626666
41472,512,0,141738.9133716247,141738.99336012502,141739.100204958,141738993676250
41984,512,0,141738.92403829136,141738.99336012502,141739.11087162467,141738993725750
42496,512,0,141738.93470495802,141738.99336012502,141739.12153829134,141738993764375
43008,512,0,141738.9453716247,141738.99336012502,141739.132204958,141738993803458
43520,512,0,141738.95603829136,141738.99336012502,141739.14287162467,141738993870208
44032,512,0,141738.96670495803,141738.99336012502,141739.15353829134,141738993910541
44544,512,0,141738.9773716247,141738.99336012502,141739.164204958,141738993947500
45056,512,0,141738.98803779102,141739.07868925002,141739.17487112433,141739079063708
45568,512,0,141738.99870445768,141739.07868925002,141739.185537791,141739079119541
46080,512,0,141739.00937112435,141739.07868925002,141739.19620445766,141739079167916
46592,512,0,141739.02003779102,141739.07868925002,141739.20687112433,141739079207416
47104,512,0,141739.0307044577,141739.07868925002,141739.217537791,141739079245666
47616,512,0,141739.04137112436,141739.07868925002,141739.22820445767,141739079289458
48128,512,0,141739.05203779103,141739.07868925002,141739.23887112434,141739079329791
48640,512,0,141739.0627044577,141739.07868925002,141739.249537791,141739079375833
49152,512,0,141739.07337141602,141739.16406275,141739.26020474933,141739164375416
49664,512,0,141739.08403808268,141739.16406275,141739.270871416,141739164436750
50176,512,0,141739.09470474935,141739.16406275,141739.28153808267,141739164486750
50688,512,0,141739.10537141602,141739.16406275,141739.29220474933,141739164525791
51200,512,0,141739.1160380827,141739.16406275,141739.302871416,141739164565625
51712,512,0,141739.12670474936,141739.16406275,141739.31353808267,141739164607750
52224,512,0,141739.13737141603,141739.16406275,141739.32420474934,141739164653208
52736,512,0,141739.1480380827,141739.16406275,141739.334871416,141739164691500
53248,512,0,141739.15870504102,141739.249271625,141739.34553837433,141739249523166
53760,512,0,141739.16937170769,141739.249271625,141739.356205041,141739249574250
54272,512,0,141739.18003837435,141739.249271625,141739.36687170767,141739249623458
54784,512,0,141739.19070504102,141739.249271625,141739.37753837433,141739249662583
55296,512,0,141739.2013717077,141739.249271625,141739.388205041,141739249702125
55808,512,0,141739.21203837436,141739.249271625,141739.39887170767,141739249744416
56320,512,0,141739.22270504103,141739.249271625,141739.40953837434,141739249784666
56832,512,0,141739.2333717077,141739.249271625,141739.420205041,141739249824291
57344,512,0,141739.244038708,141739.334634833,141739.43087204132,141739334973916
57856,512,0,141739.25470537468,141739.334634833,141739.441538708,141739335026291
58368,512,0,141739.26537204135,141739.334634833,141739.45220537466,141739335187541
58880,512,0,141739.27603870802,141739.334634833,141739.46287204133,141739335227958
59392,512,0,141739.2867053747,141739.334634833,141739.473538708,141739335309041
59904,512,0,141739.29737204136,141739.334634833,141739.48420537467,141739335399375
60416,512,0,141739.30803870803,141739.334634833,141739.49487204134,141739335604541
60928,512,0,141739.3187053747,141739.334634833,141739.505538708,141739335650541
61440,512,0,141739.329372333,141739.420116333,141739.51620566632,141739420386750
61952,512,0,141739.34003899968,141739.420116333,141739.526872333,141739420437000
62464,512,0,141739.35070566635,141739.420116333,141739.53753899966,141739420498500
62976,512,0,141739.36137233302,141739.420116333,141739.54820566633,141739420538291
63488,512,0,141739.3720389997,141739.420116333,141739.558872333,141739420584000
64000,512,0,141739.38270566636,141739.420116333,141739.56953899967,141739420629208
64512,512,0,141739.39337233303,141739.420116333,141739.58020566634,141739420688041
65024,512,0,141739.4040389997,141739.420116333,141739.590872333,141739420726833
65536,512,0,141739.414705958,141739.50525358302,141739.60153929133,141739505543041
66048,512,0,141739.42537262468,141739.50525358302,141739.612205958,141739505594833
66560,512,0,141739.43603929135,141739.50525358302,141739.62287262466,141739505646625
67072,512,0,141739.44670595802,141739.50525358302,141739.63353929133,141739505685166
67584,512,0,141739.4573726247,141739.50525358302,141739.644205958,141739505734333
68096,512,0,141739.46803929136,141739.50525358302,141739.65487262467,141739505777125
68608,512,0,141739.47870595803,141739.50525358302,141739.66553929134,141739505859083
69120,512,0,141739.4893726247,141739.50525358302,141739.676205958,141739505906208
69632,512,0,141739.500039375,141739.59056062502,141739.68687270832,141739590771208
70144,512,0,141739.51070604168,141739.59056062502,141739.697539375,141739590835791
70656,512,0,141739.52137270835,141739.59056062502,141739.70820604166,141739590893416
71168,512,0,141739.53203937502,141739.59056062502,141739.71887270833,141739590931666
71680,512,0,141739.54270604168,141739.59056062502,141739.729539375,141739590974541
72192,512,0,141739.55337270835,141739.59056062502,141739.74020604166,141739591016791
72704,512,0,141739.56403937502,141739.59056062502,141739.75087270833,141739591066791
73216,512,0,141739.5747060417,141739.59056062502,141739.761539375,141739591104250
73728,512,0,141739.585372958,141739.675891083,141739.77220629132,141739676110083
74240,512,0,141739.59603962468,141739.675891083,141739.782872958,141739676158416
74752,512,0,141739.60670629135,141739.675891083,141739.79353962466,141739676208583
75264,512,0,141739.61737295802,141739.675891083,141739.80420629133,141739676246666
75776,512,0,141739.6280396247,141739.675891083,141739.814872958,141739676298708
76288,512,0,141739.63870629136,141739.675891083,141739.82553962467,141739676341291
76800,512,0,141739.64937295803,141739.675891083,141739.83620629134,141739676389041
77312,512,0,141739.6600396247,141739.675891083,141739.846872958,141739676426291
77824,512,0,141739.670706583,141739.761335416,141739.85753991632,141739761583916
78336,512,0,141739.68137324968,141739.761335416,141739.868206583,141739761632333
78848,512,0,141739.69203991635,141739.761335416,141739.87887324966,141739761684375
79360,512,0,141739.70270658302,141739.761335416,141739.88953991633,141739761722041
79872,512,0,141739.7133732497,141739.761335416,141739.900206583,141739761769958
80384,512,0,141739.72403991636,141739.761335416,141739.91087324967,141739761833458
80896,512,0,141739.73470658303,141739.761335416,141739.92153991634,141739761871541
81408,512,0,141739.7453732497,141739.761335416,141739.932206583,141739761908791
81920,512,0,141739.756040083,141739.846665916,141739.94287341632,141739847055166
82432,512,0,141739.76670674968,141739.846665916,141739.953540083,141739847108500
82944,512,0,141739.77737341635,141739.846665916,141739.96420674966,141739847165000
83456,512,0,141739.78804008302,141739.846665916,141739.97487341633,141739847203625
83968,512,0,141739.7987067497,141739.846665916,141739.985540083,141739847241250
84480,512,0,141739.80937341636,141739.846665916,141739.99620674967,141739847283625
84992,512,0,141739.82004008302,141739.846665916,141740.00687341634,141739847321041
85504,512,0,141739.8307067497,141739.846665916,141740.017540083,141739847362083
86016,512,0,141739.841373708,141739.93204033302,141740.02820704132,141739932339833
86528,512,0,141739.85204037468,141739.93204033302,141740.038873708,141739932392375
87040,512,0,141739.86270704135,141739.93204033302,141740.04954037466,141739932448500
87552,512,0,141739.87337370802,141739.93204033302,141740.06020704133,141739932486916
88064,512,0,141739.8840403747,141739.93204033302,141740.070873708,141739932531833
88576,512,0,141739.89470704136,141739.93204033302,141740.08154037467,141739932576125
89088,512,0,141739.90537370802,141739.93204033302,141740.09220704134,141739932623958
89600,512,0,141739.9160403747,141739.93204033302,141740.102873708,141739932661541
90112,512,0,141739.92670729102,141740.017267875,141740.11354062433,141740017528333
90624,512,0,141739.93737395768,141740.017267875,141740.124207291,141740017584083
91136,512,0,141739.94804062435,141740.017267875,141740.13487395766,141740017628583
91648,512,0,141739.95870729102,141740.017267875,141740.14554062433,141740017667291
92160,512,0,141739.9693739577,141740.017267875,141740.156207291,141740017712083
92672,512,0,141739.98004062436,141740.017267875,141740.16687395767,141740017755416
93184,512,0,141739.99070729103,141740.017267875,141740.17754062434,141740017802041
93696,512,0,141740.0013739577,141740.017267875,141740.188207291,141740017887166
94208,512,0,141740.012040833,141740.102708791,141740.19887416632,141740103031916
94720,512,0,141740.02270749968,141740.102708791,141740.209540833,141740103093500
95232,512,0,141740.03337416635,141740.102708791,141740.22020749966,141740103144750
95744,512,0,141740.04404083302,141740.102708791,141740.23087416633,141740103182750
96256,512,0,141740.0547074997,141740.102708791,141740.241540833,141740103219875
96768,512,0,141740.06537416636,141740.102708791,141740.25220749967,141740103261500
97280,512,0,141740.07604083302,141740.102708791,141740.26287416634,141740103314375
97792,512,0,141740.0867074997,141740.102708791,141740.273540833,141740103351583
98304,512,0,141740.097374458,141740.188214666,141740.28420779132,141740188586750
98816,512,0,141740.10804112468,141740.188214666,141740.294874458,141740188686458
99328,512,0,141740.11870779135,141740.188214666,141740.30554112466,141740188791916
99840,512,0,141740.12937445802,141740.188214666,141740.31620779133,141740188906166
100352,512,0,141740.1400411247,141740.188214666,141740.326874458,141740189024166
