trial_id,session_id,angle_sequence_index,angle_nominal_deg,angle_wrapped_deg,closure_measurement,speaker,speaker_azimuth_deg,speaker_distance_m,repetition,attempt,sample_rate_hz,frames_in,ir_samples,window_start_sample,left_peak_sample_full,right_peak_sample_full,left_peak_sample_windowed,right_peak_sample_windowed,itd_ms,ild_db,reference_rms_dbfs,loopback_lag_samples,loopback_lag_ms,loopback_correlation,ear_l_rms_dbfs,ear_r_rms_dbfs,qc_passed_basic,qc_fail_reasons,ear_l_wav,ear_r_wav,stereo_wav,metadata_json
brir_theta_020_spk_A_rep02,exp02_campaign_20260718_001,2,20,20,False,A,-30.0,1.0,2,1,48000,406144,24000,202,234,255,32,53,0.4375,1.9779686523463909,-24.33054798189415,8846,184.29166666666666,0.9898151712873792,-36.1082869661568,-38.15030071674613,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_020_spk_A_rep02_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_020_spk_A_rep02_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_020_spk_A_rep02_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_020_spk_A_rep02.json
brir_theta_020_spk_B_rep02,exp02_campaign_20260718_001,2,20,20,False,B,30.0,1.0,2,1,48000,406144,24000,204,240,236,36,32,-0.08333333333333333,-0.046308049690466646,-24.330420468773454,8847,184.3125,0.9897723379260275,-36.05508195171852,-36.38905546830784,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_020_spk_B_rep02_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_020_spk_B_rep02_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_020_spk_B_rep02_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_020_spk_B_rep02.json
brir_theta_030_spk_B_rep01,exp02_campaign_20260718_001,3,30,30,False,B,30.0,1.0,1,1,48000,406144,24000,206,238,238,32,32,0.0,0.5184413072021954,-24.330179151589455,8846,184.29166666666666,0.9898151397685523,-35.876144306402445,-36.56854987855512,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_030_spk_B_rep01_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_030_spk_B_rep01_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_030_spk_B_rep01_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_030_spk_B_rep01.json
brir_theta_030_spk_A_rep01,exp02_campaign_20260718_001,3,30,30,False,A,-30.0,1.0,1,1,48000,406144,24000,203,235,258,32,55,0.4791666666666667,2.7186896121529713,-24.330187556941894,8840,184.16666666666666,0.9898149740645255,-36.17297573789705,-38.565091312931,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_030_spk_A_rep01_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_030_spk_A_rep01_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_030_spk_A_rep01_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_030_spk_A_rep01.json
brir_theta_030_spk_B_rep02,exp02_campaign_20260718_001,3,30,30,False,B,30.0,1.0,2,1,48000,406144,24000,206,238,238,32,32,0.0,0.4930681711783933,-24.330149224873846,8840,184.16666666666666,0.9898151420475703,-35.89044727323941,-36.57728738051572,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_030_spk_B_rep02_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_030_spk_B_rep02_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_030_spk_B_rep02_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_030_spk_B_rep02.json
brir_theta_030_spk_A_rep02,exp02_campaign_20260718_001,3,30,30,False,A,-30.0,1.0,2,1,48000,406144,24000,203,235,258,32,55,0.4791666666666667,2.6975210207454055,-24.33019185385541,8846,184.29166666666666,0.9898150506391651,-36.172121804602064,-38.55855149916299,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_030_spk_A_rep02_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_030_spk_A_rep02_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_030_spk_A_rep02_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_030_spk_A_rep02.json
brir_theta_040_spk_A_rep01,exp02_campaign_20260718_001,4,40,40,False,A,-30.0,1.0,1,1,48000,406144,24000,205,237,261,32,56,0.5,3.547534744131866,-24.329837422263626,8846,184.29166666666666,0.9898151236003213,-36.2995338915198,-39.00340861472826,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_040_spk_A_rep01_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_040_spk_A_rep01_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_040_spk_A_rep01_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_040_spk_A_rep01.json
brir_theta_040_spk_B_rep01,exp02_campaign_20260718_001,4,40,40,False,B,30.0,1.0,1,1,48000,406144,24000,203,235,241,32,38,0.125,1.0251339764513077,-24.329851718287863,8840,184.16666666666666,0.9847512006158832,-35.7505822538248,-36.779427976436345,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_040_spk_B_rep01_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_040_spk_B_rep01_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_040_spk_B_rep01_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_040_spk_B_rep01.json
brir_theta_040_spk_A_rep02,exp02_campaign_20260718_001,4,40,40,False,A,-30.0,1.0,2,1,48000,406144,24000,205,237,262,32,57,0.5208333333333334,3.498046322206939,-24.3297475202823,8840,184.16666666666666,0.9898151386868212,-36.29520427587159,-38.99507645906617,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_040_spk_A_rep02_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_040_spk_A_rep02_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_040_spk_A_rep02_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_040_spk_A_rep02.json
brir_theta_040_spk_B_rep02,exp02_campaign_20260718_001,4,40,40,False,B,30.0,1.0,2,1,48000,406144,24000,203,235,241,32,38,0.125,0.8915661216609578,-24.32962538917309,8846,184.29166666666666,0.9898150459972918,-35.74552593940354,-36.77757129136924,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_040_spk_B_rep02_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_040_spk_B_rep02_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_040_spk_B_rep02_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_040_spk_B_rep02.json
brir_theta_050_spk_B_rep01,exp02_campaign_20260718_001,5,50,50,False,B,30.0,1.0,1,1,48000,406144,24000,202,234,244,32,42,0.20833333333333334,1.288904554117174,-24.329527404587875,8846,184.29166666666666,0.9898153286642143,-35.61980824380282,-37.01451073459253,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_050_spk_B_rep01_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_050_spk_B_rep01_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_050_spk_B_rep01_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_050_spk_B_rep01.json
brir_theta_050_spk_A_rep01,exp02_campaign_20260718_001,5,50,50,False,A,-30.0,1.0,1,1,48000,406144,24000,207,239,265,32,58,0.5416666666666666,5.482537849041208,-24.32946441388069,8846,184.29166666666666,0.9897891195935719,-36.37499624803761,-39.29190985118494,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_050_spk_A_rep01_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_050_spk_A_rep01_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_050_spk_A_rep01_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_050_spk_A_rep01.json
brir_theta_050_spk_B_rep02,exp02_campaign_20260718_001,5,50,50,False,B,30.0,1.0,2,1,48000,406144,24000,202,234,244,32,42,0.20833333333333334,1.3048865477244576,-24.3293382079598,8846,184.29166666666666,0.9898153655086557,-35.60681008143581,-37.00620124983618,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_050_spk_B_rep02_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_050_spk_B_rep02_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_050_spk_B_rep02_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_050_spk_B_rep02.json
brir_theta_050_spk_A_rep02,exp02_campaign_20260718_001,5,50,50,False,A,-30.0,1.0,2,1,48000,406144,24000,207,239,265,32,58,0.5416666666666666,3.8870693488717407,-24.329289123743102,8846,184.29166666666666,0.9898152288856501,-36.378301145155724,-39.2916861504027,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_050_spk_A_rep02_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_050_spk_A_rep02_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_050_spk_A_rep02_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_050_spk_A_rep02.json
brir_theta_060_spk_A_rep01,exp02_campaign_20260718_001,6,60,60,False,A,-30.0,1.0,1,1,48000,406144,24000,210,242,268,32,58,0.5416666666666666,6.173600544540342,-24.32899473778457,8847,184.3125,0.9630506400402664,-36.43258005170105,-39.47027564600094,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_060_spk_A_rep01_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_060_spk_A_rep01_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_060_spk_A_rep01_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_060_spk_A_rep01.json
brir_theta_060_spk_B_rep01,exp02_campaign_20260718_001,6,60,60,False,B,30.0,1.0,1,1,48000,406144,24000,201,233,248,32,47,0.3125,2.115392198857549,-24.328456718477653,8847,184.3125,0.9897352409520103,-35.518855818726486,-37.302536832726226,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_060_spk_B_rep01_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_060_spk_B_rep01_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_060_spk_B_rep01_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_060_spk_B_rep01.json
brir_theta_060_spk_A_rep02,exp02_campaign_20260718_001,6,60,60,False,A,-30.0,1.0,2,1,48000,406144,24000,210,242,268,32,58,0.5416666666666666,3.8797841716637222,-24.328381265226504,8846,184.29166666666666,0.9898153306109034,-36.42347126037966,-39.45684963561694,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_060_spk_A_rep02_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_060_spk_A_rep02_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_060_spk_A_rep02_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_060_spk_A_rep02.json
brir_theta_060_spk_B_rep02,exp02_campaign_20260718_001,6,60,60,False,B,30.0,1.0,2,1,48000,406144,24000,201,233,248,32,47,0.3125,1.5926087037914343,-24.32829984231101,8840,184.16666666666666,0.9898153222637291,-35.52370647452396,-37.31023629744409,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_060_spk_B_rep02_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_060_spk_B_rep02_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_060_spk_B_rep02_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_060_spk_B_rep02.json
brir_theta_070_spk_B_rep01,exp02_campaign_20260718_001,7,70,70,False,B,30.0,1.0,1,1,48000,406144,24000,201,233,251,32,50,0.375,2.2869116781875363,-24.328070786698163,8846,184.29166666666666,0.9898153339856837,-35.44155394047244,-37.58365206674468,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_070_spk_B_rep01_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_070_spk_B_rep01_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_070_spk_B_rep01_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_070_spk_B_rep01.json
brir_theta_070_spk_A_rep01,exp02_campaign_20260718_001,7,70,70,False,A,-30.0,1.0,1,1,48000,406144,24000,213,245,271,32,58,0.5416666666666666,4.394025472523936,-24.32811138090168,8846,184.29166666666666,0.9898154055352525,-36.54486396965857,-39.541376374261034,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_070_spk_A_rep01_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_070_spk_A_rep01_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_070_spk_A_rep01_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_070_spk_A_rep01.json
brir_theta_070_spk_B_rep02,exp02_campaign_20260718_001,7,70,70,False,B,30.0,1.0,2,1,48000,406144,24000,201,233,251,32,50,0.375,2.330226942177873,-24.328008164965386,8840,184.16666666666666,0.9898153650797159,-35.43953803586349,-37.58799707596209,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_070_spk_B_rep02_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_070_spk_B_rep02_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_070_spk_B_rep02_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_070_spk_B_rep02.json
brir_theta_070_spk_A_rep02,exp02_campaign_20260718_001,7,70,70,False,A,-30.0,1.0,2,1,48000,406144,24000,213,245,271,32,58,0.5416666666666666,6.37787455696121,-24.327890260937693,8841,184.1875,0.9866656869727587,-36.53912369373927,-39.54168049286293,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_070_spk_A_rep02_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_070_spk_A_rep02_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_070_spk_A_rep02_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_070_spk_A_rep02.json
brir_theta_080_spk_A_rep01,exp02_campaign_20260718_001,8,80,80,False,A,-30.0,1.0,1,1,48000,406144,24000,216,248,274,32,58,0.5416666666666666,3.3798569161257888,-24.327789913622723,8840,184.16666666666666,0.9898153305848034,-36.661157888662395,-39.45319413712883,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_080_spk_A_rep01_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_080_spk_A_rep01_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_080_spk_A_rep01_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_080_spk_A_rep01.json
brir_theta_080_spk_B_rep01,exp02_campaign_20260718_001,8,80,80,False,B,30.0,1.0,1,1,48000,406144,24000,201,233,254,32,53,0.4375,1.5292698130476623,-24.32779630548722,8840,184.16666666666666,0.9898155638191675,-35.52932360759971,-37.86289231034062,False,low_reference_correlation,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_080_spk_B_rep01_ear_L.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_080_spk_B_rep01_ear_R.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/irs/brir_theta_080_spk_B_rep01_stereo.wav,experiments/exp02_brir_measurement/processed/exp02_campaign_20260718_001/metadata/brir_theta_080_spk_B_rep01.json
