frame_start,frames,status_flags,input_adc_time,current_time,output_dac_time,perf_counter_ns
0,512,0,142044.88633916603,142044.976941541,142045.07317249934,142044977236166
512,512,0,142044.8970058327,142044.976941541,142045.083839166,142044977303625
1024,512,0,142044.90767249936,142044.976941541,142045.09450583268,142044977353250
1536,512,0,142044.91833916603,142044.976941541,142045.10517249934,142044977393708
2048,512,0,142044.9290058327,142044.976941541,142045.115839166,142044977434750
2560,512,0,142044.93967249937,142044.976941541,142045.12650583268,142044977477541
3072,512,0,142044.95033916604,142044.976941541,142045.13717249935,142044977517041
3584,512,0,142044.9610058327,142044.976941541,142045.14783916602,142044977554708
4096,512,0,142044.97167250002,142045.06238704102,142045.15850583333,142045062652875
4608,512,0,142044.9823391667,142045.06238704102,142045.1691725,142045062702416
5120,512,0,142044.99300583336,142045.06238704102,142045.17983916667,142045062747083
5632,512,0,142045.00367250002,142045.06238704102,142045.19050583334,142045062812458
6144,512,0,142045.0143391667,142045.06238704102,142045.2011725,142045062851250
6656,512,0,142045.02500583336,142045.06238704102,142045.21183916667,142045062902291
7168,512,0,142045.03567250003,142045.06238704102,142045.22250583334,142045062940458
7680,512,0,142045.0463391667,142045.06238704102,142045.2331725,142045062977041
8192,512,0,142045.05700583302,142045.147707833,142045.24383916633,142045148005625
8704,512,0,142045.0676724997,142045.147707833,142045.254505833,142045148056333
9216,512,0,142045.07833916636,142045.147707833,142045.26517249967,142045148103708
9728,512,0,142045.08900583303,142045.147707833,142045.27583916634,142045148145333
10240,512,0,142045.0996724997,142045.147707833,142045.286505833,142045148183041
10752,512,0,142045.11033916636,142045.147707833,142045.29717249968,142045148224458
11264,512,0,142045.12100583303,142045.147707833,142045.30783916634,142045148262125
11776,512,0,142045.1316724997,142045.147707833,142045.318505833,142045148298125
12288,512,0,142045.14233916602,142045.232926208,142045.32917249933,142045233209875
12800,512,0,142045.1530058327,142045.232926208,142045.339839166,142045233263166
13312,512,0,142045.16367249936,142045.232926208,142045.35050583267,142045233316166
13824,512,0,142045.17433916603,142045.232926208,142045.36117249934,142045233356625
14336,512,0,142045.1850058327,142045.232926208,142045.371839166,142045233398250
14848,512,0,142045.19567249937,142045.232926208,142045.38250583268,142045233441250
15360,512,0,142045.20633916603,142045.232926208,142045.39317249935,142045233478958
15872,512,0,142045.2170058327,142045.232926208,142045.403839166,142045233526250
16384,512,0,142045.2276725,142045.31824245802,142045.41450583332,142045318525000
16896,512,0,142045.23833916668,142045.31824245802,142045.4251725,142045318575916
17408,512,0,142045.24900583335,142045.31824245802,142045.43583916666,142045318635041
17920,512,0,142045.25967250002,142045.31824245802,142045.44650583333,142045318675041
18432,512,0,142045.2703391667,142045.31824245802,142045.4571725,142045318715125
18944,512,0,142045.28100583336,142045.31824245802,142045.46783916667,142045318758166
19456,512,0,142045.29167250003,142045.31824245802,142045.47850583334,142045318820625
19968,512,0,142045.3023391667,142045.31824245802,142045.4891725,142045318858000
20480,512,0,142045.31300366603,142045.40354116602,142045.49983699934,142045403737000
20992,512,0,142045.3236703327,142045.40354116602,142045.510503666,142045403816625
21504,512,0,142045.33433699937,142045.40354116602,142045.52117033268,142045403863291
22016,512,0,142045.34500366604,142045.40354116602,142045.53183699935,142045403901750
22528,512,0,142045.3556703327,142045.40354116602,142045.54250366602,142045403948958
23040,512,0,142045.36633699937,142045.40354116602,142045.55317033269,142045404023541
23552,512,0,142045.37700366604,142045.40354116602,142045.56383699935,142045404064500
24064,512,0,142045.3876703327,142045.40354116602,142045.57450366602,142045404101250
24576,512,0,142045.39833675002,142045.48886325,142045.58517008333,142045489077416
25088,512,0,142045.4090034167,142045.48886325,142045.59583675,142045489125416
25600,512,0,142045.41967008336,142045.48886325,142045.60650341667,142045489168708
26112,512,0,142045.43033675003,142045.48886325,142045.61717008334,142045489206333
26624,512,0,142045.4410034167,142045.48886325,142045.62783675,142045489244708
27136,512,0,142045.45167008336,142045.48886325,142045.63850341667,142045489286625
27648,512,0,142045.46233675003,142045.48886325,142045.64917008334,142045489327833
28160,512,0,142045.4730034167,142045.48886325,142045.65983675,142045489364291
28672,512,0,142045.48366979102,142045.57430158302,142045.67050312433,142045574563958
29184,512,0,142045.4943364577,142045.57430158302,142045.681169791,142045574618916
29696,512,0,142045.50500312436,142045.57430158302,142045.69183645767,142045574668458
30208,512,0,142045.51566979103,142045.57430158302,142045.70250312434,142045574706875
30720,512,0,142045.5263364577,142045.57430158302,142045.713169791,142045574746916
31232,512,0,142045.53700312437,142045.57430158302,142045.72383645768,142045574810208
31744,512,0,142045.54766979103,142045.57430158302,142045.73450312435,142045574851875
32256,512,0,142045.5583364577,142045.57430158302,142045.74516979101,142045574888833
32768,512,0,142045.56900600003,142045.659668,142045.75583933335,142045660009166
33280,512,0,142045.5796726667,142045.659668,142045.766506,142045660084291
33792,512,0,142045.59033933337,142045.659668,142045.77717266668,142045660153500
34304,512,0,142045.60100600004,142045.659668,142045.78783933335,142045660212625
34816,512,0,142045.6116726667,142045.659668,142045.79850600002,142045660273333
35328,512,0,142045.62233933338,142045.659668,142045.8091726667,142045660338708
35840,512,0,142045.63300600005,142045.659668,142045.81983933336,142045660399958
36352,512,0,142045.64367266672,142045.659668,142045.83050600003,142045660459458
36864,512,0,142045.654339416,142045.74490700001,142045.84117274932,142045745157916
37376,512,0,142045.66500608268,142045.74490700001,142045.851839416,142045745212833
37888,512,0,142045.67567274935,142045.74490700001,142045.86250608266,142045745259083
38400,512,0,142045.68633941602,142045.74490700001,142045.87317274933,142045745303541
38912,512,0,142045.6970060827,142045.74490700001,142045.883839416,142045745343875
39424,512,0,142045.70767274935,142045.74490700001,142045.89450608267,142045745386375
39936,512,0,142045.71833941602,142045.74490700001,142045.90517274934,142045745425500
40448,512,0,142045.7290060827,142045.74490700001,142045.915839416,142045745462041
40960,512,0,142045.73967287503,142045.83038491601,142045.92650620834,142045830704541
41472,512,0,142045.7503395417,142045.83038491601,142045.937172875,142045830833708
41984,512,0,142045.76100620837,142045.83038491601,142045.94783954168,142045830932875
42496,512,0,142045.77167287504,142045.83038491601,142045.95850620835,142045831022750
43008,512,0,142045.7823395417,142045.83038491601,142045.96917287502,142045831113833
43520,512,0,142045.79300620838,142045.83038491601,142045.9798395417,142045831211125
44032,512,0,142045.80367287504,142045.83038491601,142045.99050620836,142045831299250
44544,512,0,142045.8143395417,142045.83038491601,142046.00117287503,142045831377916
45056,512,0,142045.82500508302,142045.91552500002,142046.01183841634,142045915737000
45568,512,0,142045.8356717497,142045.91552500002,142046.022505083,142045915805291
