frame_start,frames,status_flags,input_adc_time,current_time,output_dac_time,perf_counter_ns
0,512,0,140802.68070662502,140802.77141075002,140802.86753995833,140802771935958
512,512,0,140802.6913732917,140802.77141075002,140802.878206625,140802772006000
1024,512,0,140802.70203995836,140802.77141075002,140802.88887329167,140802772054458
1536,512,0,140802.71270662503,140802.77141075002,140802.89953995834,140802772093416
2048,512,0,140802.7233732917,140802.77141075002,140802.910206625,140802772138291
2560,512,0,140802.73403995836,140802.77141075002,140802.92087329167,140802772211583
3072,512,0,140802.74470662503,140802.77141075002,140802.93153995834,140802772252583
3584,512,0,140802.7553732917,140802.77141075002,140802.942206625,140802772290125
4096,512,0,140802.76603995802,140802.85658375002,140802.95287329133,140802856818708
4608,512,0,140802.7767066247,140802.85658375002,140802.963539958,140802856867625
5120,512,0,140802.78737329136,140802.85658375002,140802.97420662467,140802856912375
5632,512,0,140802.79803995803,140802.85658375002,140802.98487329134,140802856953416
6144,512,0,140802.8087066247,140802.85658375002,140802.995539958,140802856993416
6656,512,0,140802.81937329136,140802.85658375002,140803.00620662468,140802857035875
7168,512,0,140802.83003995803,140802.85658375002,140803.01687329134,140802857075666
7680,512,0,140802.8407066247,140802.85658375002,140803.027539958,140802857113208
8192,512,0,140802.85137329102,140802.94193237502,140803.03820662433,140802942135458
8704,512,0,140802.8620399577,140802.94193237502,140803.048873291,140802942184625
9216,512,0,140802.87270662436,140802.94193237502,140803.05953995767,140802942228708
9728,512,0,140802.88337329103,140802.94193237502,140803.07020662434,140802942268958
10240,512,0,140802.8940399577,140802.94193237502,140803.080873291,140802942307833
10752,512,0,140802.90470662437,140802.94193237502,140803.09153995768,140802942349166
11264,512,0,140802.91537329103,140802.94193237502,140803.10220662435,140802942388083
11776,512,0,140802.9260399577,140802.94193237502,140803.11287329101,140802942424416
12288,512,0,140802.936706625,140803.027292666,140803.12353995832,140803027602208
12800,512,0,140802.94737329168,140803.027292666,140803.134206625,140803027656000
13312,512,0,140802.95803995835,140803.027292666,140803.14487329166,140803027710291
13824,512,0,140802.96870662502,140803.027292666,140803.15553995833,140803027772708
14336,512,0,140802.9793732917,140803.027292666,140803.166206625,140803027813416
14848,512,0,140802.99003995836,140803.027292666,140803.17687329167,140803027859458
15360,512,0,140803.00070662503,140803.027292666,140803.18753995834,140803027899458
15872,512,0,140803.0113732917,140803.027292666,140803.198206625,140803027937000
16384,512,0,140803.022039958,140803.11268337502,140803.20887329133,140803112977750
16896,512,0,140803.03270662468,140803.11268337502,140803.219539958,140803113028458
17408,512,0,140803.04337329135,140803.11268337502,140803.23020662466,140803113073458
17920,512,0,140803.05403995802,140803.11268337502,140803.24087329133,140803113111666
18432,512,0,140803.0647066247,140803.11268337502,140803.251539958,140803113152041
18944,512,0,140803.07537329136,140803.11268337502,140803.26220662467,140803113198250
19456,512,0,140803.08603995803,140803.11268337502,140803.27287329134,140803113237625
19968,512,0,140803.0967066247,140803.11268337502,140803.283539958,140803113274208
20480,512,0,140803.10736379103,140803.198047541,140803.29419712434,140803198348458
20992,512,0,140803.1180304577,140803.198047541,140803.304863791,140803198403708
21504,512,0,140803.12869712437,140803.198047541,140803.31553045768,140803198450791
22016,512,0,140803.13936379104,140803.198047541,140803.32619712435,140803198489000
22528,512,0,140803.1500304577,140803.198047541,140803.33686379102,140803198536916
23040,512,0,140803.16069712437,140803.198047541,140803.3475304577,140803198579958
23552,512,0,140803.17136379104,140803.198047541,140803.35819712435,140803198619583
24064,512,0,140803.1820304577,140803.198047541,140803.36886379102,140803198656250
