target_source,head_yaw_deg,target_angle_deg,target_error_deg,sigma_deg,source_a_gain_db,source_b_gain_db,target_gain_db,interferer_gain_db,target_to_interferer_gain_db,pair_count,tir_improvement_db_mean,tir_improvement_db_sd,tir_improvement_db_median,input_tir_db_mean,input_tir_db_sd,input_tir_db_median,output_tir_db_mean,output_tir_db_sd,output_tir_db_median,input_si_sdr_db_mean,input_si_sdr_db_sd,input_si_sdr_db_median,output_si_sdr_db_mean,output_si_sdr_db_sd,output_si_sdr_db_median,si_sdr_improvement_db_mean,si_sdr_improvement_db_sd,si_sdr_improvement_db_median
source_a,-90.0,-30.0,60.0,10.0,1.5229979744712628e-07,5.380186160021138e-31,1.5229979744712628e-07,5.380186160021138e-31,1.5229979744712628e-07,100,1.5229979773571152e-07,4.272979513181084e-16,1.5229979766218094e-07,0.005599851872242011,2.8067757495515924,-0.14977853341541214,0.005600004172039742,2.8067757495515924,-0.1497783811156146,0.0064498226755969005,2.808804820154609,-0.14967712042474762,0.006449974841844446,2.808804820138801,-0.1496769675598187,1.5216624754621487e-07,2.198558598593487e-09,1.522976638274054e-07
source_a,-80.0,-30.0,50.0,10.0,3.726653172078671e-05,5.311092249679095e-26,3.726653172078671e-05,5.311092249679095e-26,3.726653172078671e-05,100,3.726653171948038e-05,6.758769835746395e-16,3.726653171953753e-05,-0.02097515953656023,2.8021147050642354,-0.27344019997185587,-0.02093789300484075,2.802114705064236,-0.2734029334401371,-0.020789469014071096,2.8027412874757065,-0.26687970004085076,-0.02075219735703156,2.802741277278099,-0.26684248343303396,3.727165703953303e-05,4.199031003924277e-07,3.722589949141375e-05
source_a,-70.0,-30.0,40.0,10.0,0.0033546262790251184,1.9287498479639177e-21,0.0033546262790251184,1.9287498479639177e-21,0.0033546262790251184,100,0.0033546262789619177,3.3241169338516493e-14,0.0033546262789739267,0.09512722956446933,2.793636028006828,-0.13029482308009002,0.09848185584343122,2.793636028006852,-0.12694019680112473,0.09634201114703093,2.79572589467281,-0.12205639890213137,0.0996967021270034,2.7957244729500106,-0.1187048768851888,0.003354690979972471,3.70714366576385e-05,0.0033553756514802524
source_a,-60.0,-30.0,30.0,10.0,0.11108996538242306,2.576757109154981e-17,0.11108996538242306,2.576757109154981e-17,0.11108996538242304,100,0.11108996538042382,1.064834489101622e-12,0.11108996538080639,0.12606818518019303,2.786636743028729,-0.07930702554897284,0.23715815056061687,2.786636743029483,0.03178293983163845,0.12747832062441736,2.7883541479166265,-0.10898567514871696,0.23856853926372806,2.7883127215926833,0.002002422769626755,0.1110902186393107,0.001214113714296925,0.11107326491499236
source_a,-50.0,-30.0,20.0,10.0,1.353352832366127,1.2664165549094176e-13,1.353352832366127,1.2664165549094176e-13,1.3533528323660005,100,1.3533528323451647,1.1252998253035832e-11,1.3533528323491257,0.13986871217322297,2.7932113108279095,-0.054205196113581156,1.4932215445183876,2.7932113108359036,1.2991476362337655,0.14194561064448397,2.7938764247752035,-0.0863854311178926,1.495194746174715,2.7936100279155935,1.277666920930669,1.353249135530231,0.01343491458952165,1.3526301922225963
source_a,-40.0,-30.0,10.0,10.0,6.065306597126334,2.289734845645553e-10,6.065306597126334,2.289734845645553e-10,6.0653065968973605,100,6.065306596839726,3.129019780100269e-11,6.065306596850594,0.09126167611953995,2.7944683523107,-0.1378153822573915,6.156568272959266,2.794468352333094,5.927491214588271,0.09298709598250872,2.7936310388625407,-0.10432175277703937,6.157999154611313,2.793829708238376,5.944282691627403,6.065012058628804,0.045867222959988754,6.061793519376389
source_a,-30.0,-30.0,0.0,10.0,10.0,1.5229979744712628e-07,10.0,1.5229979744712628e-07,9.999999847700202,100,9.999999847631761,3.7384143189870396e-11,9.999999847644716,0.020426099105925227,2.7923930105922405,-0.20574920198230895,10.020425946737687,2.792393010619187,9.79425064565245,0.02224995838627908,2.7902846939772297,-0.16074441923450475,10.021694114484868,2.791687563221307,9.807863432399232,9.999444156098589,0.060472158762580094,9.992559718003749
source_a,-20.0,-30.0,10.0,10.0,6.065306597126334,3.726653172078671e-05,6.065306597126334,3.726653172078671e-05,6.065269330594613,100,6.065269330536791,3.146439504864619e-11,6.065269330548155,-0.14888672317395066,2.8008077018512143,-0.3866505162926428,5.91638260736284,2.800807701874036,5.678618814249004,-0.14702462899109128,2.798577338181491,-0.3522644686920343,5.917880361378173,2.799501189497203,5.694394259084852,6.064904990369264,0.0452640991111289,6.059263445903561
source_a,-10.0,-30.0,20.0,10.0,1.353352832366127,0.0033546262790251184,1.353352832366127,0.0033546262790251184,1.3499982060871019,100,1.3499982060666524,1.0941405176559136e-11,1.3499982060707498,-0.20591907088959321,2.794670846490026,-0.33017668298904,1.1440791351770592,2.7946708464980032,1.0198215230798306,-0.20236745397563932,2.7918091284828437,-0.30098678219043684,1.1473154789718985,2.792075825435607,1.0448308113787186,1.3496829329475377,0.012930012719759227,1.3487028013255455
source_a,0.0,-30.0,30.0,10.0,0.11108996538242306,0.11108996538242306,0.11108996538242306,0.11108996538242306,0.0,100,-1.3542944977268378e-13,1.4763759336535432e-12,-1.328520626842078e-13,-0.2540525456180138,2.7985116781701223,-0.34623257595149415,-0.2540525456181493,2.7985116781715473,-0.3462325759516457,-0.25266505813127005,2.7971776553885297,-0.3618376683304379,-0.2526650580918307,2.797177655476801,-0.3618376691022831,3.9439352894632405e-11,1.4482252339481741e-09,1.476523348031833e-10
