sigma_deg,pair_count,angular_mean_delta_tir_db_mean,angular_mean_delta_tir_db_median,angular_mean_delta_tir_db_ci95_low,angular_mean_delta_tir_db_ci95_high,global_score_db,angular_mean_delta_tir_db_p10,positive_pair_fraction,bootstrap_iterations,bootstrap_seed,rank,nominal_winner,practically_equivalent_to_winner
30.0,100,5.468462471466003,5.468462471470653,5.468462471463307,5.468462471468585,5.468462471463307,5.468462471447632,1.0,10000,20260721,1,True,True
45.0,100,5.077193001953185,5.077193001956981,5.077193001951232,5.077193001955039,5.077193001951232,5.077193001939238,1.0,10000,20260721,2,False,False
20.0,100,4.771762300422435,4.771762300427196,4.7717623004197955,4.771762300424985,4.7717623004197955,4.771762300404354,1.0,10000,20260721,3,False,False
60.0,100,4.109082283788319,4.109082283790341,4.109082283787072,4.1090822837894745,4.109082283787072,4.109082283779915,1.0,10000,20260721,4,False,False
10.0,100,2.7720454164192456,2.772045416422281,2.7720454164175603,2.772045416420857,2.7720454164175603,2.772045416407471,1.0,10000,20260721,5,False,False
