session_id,host_monotonic_timestamp_ns,receive_interval_ms,packet_loss_count,device_timestamp_ms,seq,packet_format,packet_version,flags,ax_m_s2,ay_m_s2,az_m_s2,gx_rad_s,gy_rad_s,gz_rad_s,qw,qx,qy,qz,yaw_deg,calibrated_yaw_deg,sigma_deg,bmax_db,audio_frame_index,calibration_state,source_0_name,source_0_gain_linear,source_0_attention_pct,source_0_distance_factor,source_0_gain_db,source_0_relative_angle_deg,source_1_name,source_1_gain_linear,source_1_attention_pct,source_1_distance_factor,source_1_gain_db,source_1_relative_angle_deg
20260716_215309,16182622676500,,,11409166,934902,telemetry_v1,1,0,-0.07182800024747849,-1.673598051071167,9.668081283569336,0.0,-0.0031950001139193773,0.0,0.3744514286518097,-0.0368821807205677,-0.07639440894126892,0.9233578443527222,135.7986602783203,0.0,20.0,10.0,,0,A,1.0959223188514788,7.955954316936996,1.0,0.7955954316936996,-45.0,B,1.0959223188514788,7.955954316936996,1.0,0.7955954316936996,45.0
20260716_215309,16182664877600,42.2011,1,11409191,934904,telemetry_v1,1,0,-0.10774199664592743,-1.6257120370864868,9.687234878540039,0.0,-0.0010649999603629112,0.0010649999603629112,0.37443554401397705,-0.036844491958618164,-0.07575391232967377,0.9234185814857483,135.8013458251953,0.006678038931143141,20.0,10.0,,0,A,1.0958468763954317,7.9499748109841795,1.0,0.794997481098418,-45.006645000104385,B,1.095997706830345,7.961929093909294,1.0,0.7961929093909293,44.99331707954827
20260716_215309,16182679104600,14.227,1,11409215,934906,telemetry_v1,1,0,-0.09816499799489975,-1.6281059980392456,9.694417953491211,0.0,-0.0031950001139193773,0.0010649999603629112,0.3744312524795532,-0.03666989132761955,-0.0753667950630188,0.923458993434906,135.80397033691406,0.008981469297773045,20.0,10.0,,0,A,1.0958208932136388,7.9479153104281455,1.0,0.7947915310428145,-45.008900224817125,B,1.0960237490440201,7.963992940440695,1.0,0.7963992940440695,44.99098080869979
20260716_215309,16182711528800,32.4242,1,11409239,934908,telemetry_v1,1,0,-0.10774199664592743,-1.6783859729766846,9.668081283569336,-0.0010649999603629112,-0.0010649999603629112,0.0010649999603629112,0.37441638112068176,-0.03672182559967041,-0.07606983929872513,0.9234053492546082,135.80490112304688,0.005713429248776899,20.0,10.0,,0,A,1.095857814247976,7.950841761540829,1.0,0.7950841761540829,-45.00570725789438,B,1.095986858050228,7.961069313157965,1.0,0.7961069313157965,44.99427782887229
20260716_215309,16182815469300,103.9405,1,11409264,934910,telemetry_v1,1,0,-0.12210799753665924,-1.656838059425354,9.663291931152344,0.0010649999603629112,-0.0021299999207258224,0.0,0.3743656873703003,-0.037357181310653687,-0.07610014081001282,0.9233978390693665,135.80416870117188,0.016196068093413663,20.0,10.0,,0,A,1.0957391875946436,7.941438773499536,1.0,0.7941438773499536,-45.01620650718225,B,1.0961049912660288,7.970431074859214,1.0,0.7970431074859214,44.9838259980496
20260716_215309,16182922370500,106.9012,1,11409288,934912,telemetry_v1,1,0,-0.12210799753665924,-1.6161350011825562,9.687234878540039,0.0,-0.0010649999603629112,0.0,0.37434613704681396,-0.03735577315092087,-0.07546297460794449,0.9234581589698792,135.80694580078125,0.02358862903741949,20.0,10.0,,0,A,1.0956554745377922,7.934802612647311,1.0,0.7934802612647311,-45.0235350896751,B,1.0961882439320687,7.977028034226094,1.0,0.7977028034226095,44.9764796643522
20260716_215309,16182956637200,34.2667,1,11409312,934914,telemetry_v1,1,0,-0.13886700570583344,-1.6472610235214233,9.68484115600586,0.0010649999603629112,-0.0021299999207258224,0.0010649999603629112,0.3743327260017395,-0.03732851892709732,-0.07545071840286255,0.9234656691551208,135.80889892578125,0.02514324620893345,20.0,10.0,,0,A,1.0956380044521468,7.9334176476725835,1.0,0.7933417647672583,-45.02508592856916,B,1.096205886559402,7.978425975516074,1.0,0.7978425975516074,44.97492154921489
20260716_215309,16182967292100,10.6549,1,11409336,934916,telemetry_v1,1,0,-0.12450200319290161,-1.6712030172348022,9.675264358520508,-0.0010649999603629112,-0.0010649999603629112,0.0,0.374303936958313,-0.03767901286482811,-0.07609056681394577,0.9234105944633484,135.80824279785156,0.026127334163502956,20.0,10.0,,0,A,1.0956267477061459,7.932525242011866,1.0,0.7932525242011866,-45.026169211470474,B,1.0962168551135822,7.979295074794132,1.0,0.7979295074794133,44.97391089385562
20260716_215309,16183047405100,80.113,1,11409361,934918,telemetry_v1,1,0,-0.10055900365114212,-1.6424720287322998,9.677658081054688,0.0010649999603629112,-0.0021299999207258224,0.0021299999207258224,0.37432366609573364,-0.03711431473493576,-0.0758109837770462,0.9234485030174255,135.81216430664062,0.021928255137617265,20.0,10.0,,0,A,1.0956747282680321,7.936328952911101,1.0,0.79363289529111,-45.02190471228517,B,1.0961699999000463,7.975582416027977,1.0,0.7975582416027976,44.97809187054291
20260716_215309,16183102178000,54.7729,1,11409385,934920,telemetry_v1,1,0,-0.1173190027475357,-1.6065579652786255,9.675264358520508,0.0010649999603629112,-0.0021299999207258224,0.0021299999207258224,0.374289870262146,-0.037224505096673965,-0.07532341033220291,0.9234976172447205,135.8153839111328,0.03068445545495955,20.0,10.0,,0,A,1.0955757024478798,7.9284783911159655,1.0,0.7928478391115966,-45.030600246284635,B,1.0962687387046206,7.983405981129311,1.0,0.7983405981129311,44.96937008839109
20260716_215309,16183175521100,73.3431,1,11409409,934922,telemetry_v1,1,0,-0.10774199664592743,-1.6640199422836304,9.682445526123047,-0.0010649999603629112,-0.0021299999207258224,0.0,0.37428343296051025,-0.0372336208820343,-0.07602941244840622,0.9234419465065002,135.81568908691406,0.02601387460307917,20.0,10.0,,0,A,1.0956286720017852,7.932677795834693,1.0,0.7932677795834693,-45.026012317759054,B,1.0962162213991689,7.979244862329134,1.0,0.7979244862329133,44.974005562034506
20260716_215309,16183222408200,46.8871,1,11409434,934924,telemetry_v1,1,0,-0.12928999960422516,-1.6592320203781128,9.689628601074219,0.0,-0.0010649999603629112,0.0010649999603629112,0.37424299120903015,-0.037627723067998886,-0.07618843764066696,0.9234293699264526,135.81626892089844,0.03251297506847282,20.0,10.0,,0,A,1.0955550299360302,7.926839427691101,1.0,0.7926839427691101,-45.032552251910175,B,1.0962893642956753,7.985040160012695,1.0,0.7985040160012695,44.96751072347387
20260716_215309,16183296503300,74.0951,1,11409458,934926,telemetry_v1,1,0,-0.1340789943933487,-1.6496549844741821,9.677658081054688,0.0010649999603629112,-0.0010649999603629112,0.0010649999603629112,0.3742143213748932,-0.03783414512872696,-0.0756668969988823,0.9234753847122192,135.8178253173828,0.041580910981302496,20.0,10.0,,0,A,1.095452085648569,7.9186773116116465,1.0,0.7918677311611646,-45.04160739618017,B,1.09639121778037,7.993109626538556,1.0,0.7993109626538555,44.958527311041074
