session_id,host_monotonic_timestamp_ns,receive_interval_ms,packet_loss_count,device_timestamp_ms,seq,packet_format,packet_version,flags,ax_m_s2,ay_m_s2,az_m_s2,gx_rad_s,gy_rad_s,gz_rad_s,qw,qx,qy,qz,yaw_deg,calibrated_yaw_deg,sigma_deg,bmax_db,audio_frame_index,calibration_state,source_0_name,source_0_gain_linear,source_0_attention_pct,source_0_distance_factor,source_0_gain_db,source_0_relative_angle_deg,source_1_name,source_1_gain_linear,source_1_attention_pct,source_1_distance_factor,source_1_gain_db,source_1_relative_angle_deg
20260716_204124,11878036460000,,,7104527,587998,telemetry_v1,1,0,-0.1029530018568039,-1.6472610235214233,9.672868728637695,0.0,-0.0021299999207258224,0.0021299999207258224,0.6931039690971375,-0.05435178428888321,0.06425398588180542,-0.7159079313278198,-91.90873718261719,0.0,20.0,10.0,,0,A,1.0959223188514788,7.955954316936996,1.0,0.7955954316936996,-45.0,B,1.0959223188514788,7.955954316936996,1.0,0.7955954316936996,45.0
20260716_204124,11878109463300,73.0033,1,7104551,588000,telemetry_v1,1,0,-0.12210799753665924,-1.6233179569244385,9.687234878540039,0.0,-0.0010649999603629112,0.0010649999603629112,0.6931177973747253,-0.05425168201327324,0.06437347829341888,-0.7158915400505066,-91.90782165527344,0.003917279600544335,20.0,10.0,,0,A,1.0958780594683977,7.952446405169618,1.0,0.7952446405169618,-45.003918888162666,B,1.0959665353109973,7.959458685207195,1.0,0.7959458685207195,44.99608375287764
20260716_204124,11878124716600,15.2533,1,7104576,588002,telemetry_v1,1,0,-0.13647300004959106,-1.6400779485702515,9.682445526123047,0.0,-0.0031950001139193773,0.0010649999603629112,0.6931779980659485,-0.05366643890738487,0.06478622555732727,-0.7158401608467102,-91.90552520751953,0.019825960242413405,20.0,10.0,,0,A,1.0956977120621771,7.938150959026907,1.0,0.7938150959026907,-45.01985781669079,B,1.0961454973913127,7.9736408516227915,1.0,0.7973640851622792,44.98022419178407
20260716_204124,11878173247000,48.5304,1,7104600,588004,telemetry_v1,1,0,-0.1101360023021698,-1.635288953781128,9.680051803588867,0.0010649999603629112,-0.0010649999603629112,0.0,0.6931491494178772,-0.054052527993917465,0.06441398710012436,-0.715872585773468,-91.90531158447266,0.009717097213375662,20.0,10.0,,0,A,1.0958125044493106,7.9472503827880265,1.0,0.7947250382788027,-45.009719063764095,B,1.0960319749707712,7.964644835291239,1.0,0.7964644835291239,44.99029170230329
20260716_204124,11878200234000,26.987,1,7104624,588006,telemetry_v1,1,0,-0.1029530018568039,-1.6424720287322998,9.675264358520508,0.0,-0.0010649999603629112,0.0010649999603629112,0.6931218504905701,-0.05448254570364952,0.06400597840547562,-0.7159030437469482,-91.9042739868164,-0.0006549978281125674,20.0,10.0,,0,A,1.0959296237935612,7.956533278677121,1.0,0.795653327867712,-44.99935132372183,B,1.0959148299962402,7.955360774938211,1.0,0.7955360774938212,45.00065596183834
20260716_204124,11878229322800,29.0888,1,7104649,588008,telemetry_v1,1,0,-0.1173190027475357,-1.6448659896850586,9.680051803588867,0.0021299999207258224,-0.0031950001139193773,0.0010649999603629112,0.693143367767334,-0.054445531219244,0.0639512911438942,-0.7158898115158081,-91.90129852294922,0.002090872048631885,20.0,10.0,,0,A,1.095898607323043,7.954075005386567,1.0,0.7954075005386567,-45.00209894857619,B,1.0959458318062336,7.957817849923793,1.0,0.7957817849923793,44.997907390578334
20260716_204124,11878245538300,16.2155,1,7104673,588010,telemetry_v1,1,0,-0.11492499709129333,-1.6328949928283691,9.689628601074219,0.0010649999603629112,-0.0021299999207258224,0.0021299999207258224,0.6932192444801331,-0.053746938705444336,0.06396948546171188,-0.7158675789833069,-91.89793395996094,0.015359541819430965,20.0,10.0,,0,A,1.095748931051037,7.9422111307503584,1.0,0.7942211130750358,-45.0153237470727,B,1.0960958422645122,7.969706075431637,1.0,0.7969706075431637,44.984637138726995
20260716_204124,11878334364000,88.8257,1,7104698,588012,telemetry_v1,1,0,-0.1173190027475357,-1.6448659896850586,9.675264358520508,0.0010649999603629112,-0.0010649999603629112,0.0031950001139193773,0.6932076215744019,-0.05417058989405632,0.06431949883699417,-0.715815544128418,-91.89453887939453,0.017584714333313035,20.0,10.0,,0,A,1.095723875287383,7.9402249632991735,1.0,0.7940224963299174,-45.01758442494963,B,1.096121044524184,7.971703177520101,1.0,0.7971703177520101,44.98241793312032
20260716_204124,11878364147000,29.783,1,7104722,588014,telemetry_v1,1,0,-0.10534799844026566,-1.6448659896850586,9.672868728637695,0.0,-0.0010649999603629112,0.0,0.6931857466697693,-0.05452575162053108,0.06410758197307587,-0.7158286571502686,-91.8935546875,0.010812736773033231,20.0,10.0,,0,A,1.095800205013063,7.946275470154997,1.0,0.7946275470154996,-45.01081545752187,B,1.0960444218540402,7.96563122659194,1.0,0.796563122659194,44.989190871416646
20260716_204124,11878424254500,60.1075,1,7104746,588016,telemetry_v1,1,0,-0.1101360023021698,-1.6376830339431763,9.692024230957031,0.0010649999603629112,-0.0010649999603629112,0.0010649999603629112,0.6932299733161926,-0.05409872531890869,0.06386943906545639,-0.7158396244049072,-91.8918685913086,0.0152253688237349,20.0,10.0,,0,A,1.0957504977731607,7.942335323120929,1.0,0.7942335323120929,-45.01521919176086,B,1.0960943787707644,7.969590102419287,1.0,0.7969590102419287,44.98475835619073
