session_id,host_monotonic_timestamp_ns,receive_interval_ms,packet_loss_count,device_timestamp_ms,seq,packet_format,packet_version,flags,ax_m_s2,ay_m_s2,az_m_s2,gx_rad_s,gy_rad_s,gz_rad_s,qw,qx,qy,qz,yaw_deg,calibrated_yaw_deg,sigma_deg,bmax_db,audio_frame_index,calibration_state,source_0_name,source_0_gain_linear,source_0_attention_pct,source_0_distance_factor,source_0_gain_db,source_0_relative_angle_deg,source_1_name,source_1_gain_linear,source_1_attention_pct,source_1_distance_factor,source_1_gain_db,source_1_relative_angle_deg
20260716_204048,11843893308100,,,7070340,585174,telemetry_v1,1,0,-0.09816499799489975,-1.6376830339431763,9.668081283569336,0.0010649999603629112,-0.0010649999603629112,0.0,0.6822912693023682,-0.0536603182554245,0.06450151652097702,-0.7262498140335083,-93.62361145019531,0.0,20.0,10.0,,0,A,1.0959223188514788,7.955954316936996,1.0,0.7955954316936996,-45.0,B,1.0959223188514788,7.955954316936996,1.0,0.7955954316936996,45.0
20260716_204048,11843909671800,16.3637,1,7070365,585176,telemetry_v1,1,0,-0.1173190027475357,-1.6448659896850586,9.687234878540039,0.0,-0.0010649999603629112,0.0,0.6823238134384155,-0.05325651168823242,0.06504599750041962,-0.7262003421783447,-93.62349700927734,0.012899860628513345,20.0,10.0,,0,A,1.0957761721296655,7.94437047633355,1.0,0.794437047633355,-45.01293314630661,B,1.0960675271209441,7.967462244378114,1.0,0.7967462244378114,44.98711507871505
20260716_204048,11843939230200,29.5584,1,7070389,585178,telemetry_v1,1,0,-0.10534799844026566,-1.6448659896850586,9.668081283569336,0.0,0.0,0.0010649999603629112,0.6822925209999084,-0.0537433922290802,0.0649530440568924,-0.7262023091316223,-93.62240600585938,0.005969868470367319,20.0,10.0,,0,A,1.095854843517684,7.950606297869353,1.0,0.7950606297869354,-45.00597558919063,B,1.0959896791459347,7.961292889693111,1.0,0.7961292889693111,44.99401407765893
20260716_204048,11844014928800,75.6986,1,7070413,585180,telemetry_v1,1,0,-0.10534799844026566,-1.6448659896850586,9.672868728637695,-0.0010649999603629112,-0.0021299999207258224,0.0010649999603629112,0.6823073625564575,-0.053717419505119324,0.064915232360363,-0.7261936664581299,-93.62039947509766,0.007841811321550212,20.0,10.0,,0,A,1.0958337235239328,7.948932283252106,1.0,0.7948932283252107,-45.00784759685963,B,1.0960108389267587,7.962969819232978,1.0,0.7962969819232978,44.99214540663162
20260716_204048,11844045430000,30.5012,1,7070438,585182,telemetry_v1,1,0,-0.1101360023021698,-1.6448659896850586,9.677658081054688,0.0010649999603629112,-0.0021299999207258224,0.0010649999603629112,0.6823379397392273,-0.053489383310079575,0.06514933705329895,-0.7261606454849243,-93.61842346191406,0.016079695287593416,20.0,10.0,,0,A,1.0957404746037192,7.941540794239095,1.0,0.7941540794239095,-45.016113089646666,B,1.096103649772868,7.970324770547416,1.0,0.7970324770547416,44.98390800910267
20260716_204048,11844075598900,30.1689,1,7070462,585184,telemetry_v1,1,0,-0.1412619948387146,-1.6305010318756104,9.677658081054688,0.0010649999603629112,-0.0010649999603629112,0.0010649999603629112,0.6823964715003967,-0.05293674394488335,0.0650477185845375,-0.7261553406715393,-93.61604309082031,0.024858149230907737,20.0,10.0,,0,A,1.0956409327744443,7.933649795975282,1.0,0.7933649795975283,-45.02489280131248,B,1.096202373793618,7.9781476377951615,1.0,0.7978147637795162,44.975196155558905
20260716_204048,11844134332900,58.734,1,7070486,585186,telemetry_v1,1,0,-0.12210799753665924,-1.6233179569244385,9.66568660736084,0.0,-0.0021299999207258224,0.0010649999603629112,0.6824308037757874,-0.052650295197963715,0.06513087451457977,-0.7261365652084351,-93.61417388916016,0.031832644827900505,20.0,10.0,,0,A,1.0955617095020724,7.927369002153559,1.0,0.7927369002153559,-45.031874475064846,B,1.0962806694807996,7.984351267970285,1.0,0.7984351267970285,44.96827036151235
20260716_204048,11844164325100,29.9922,1,7070511,585188,telemetry_v1,1,0,-0.12210799753665924,-1.6496549844741821,9.672868728637695,0.0,-0.0010649999603629112,0.0,0.682404100894928,-0.05298955738544464,0.06512495875358582,-0.7261374592781067,-93.61422729492188,0.02696630187313818,20.0,10.0,,0,A,1.0956171579014604,7.931764979907439,1.0,0.793176497990744,-45.0270122269355,B,1.096226213091649,7.980036552334903,1.0,0.7980036552334903,44.973080426622104
20260716_204048,11844242524000,78.1989,1,7070535,585190,telemetry_v1,1,0,-0.1101360023021698,-1.652048945426941,9.675264358520508,0.0,-0.0010649999603629112,0.0010649999603629112,0.6824094653129578,-0.053060133010149,0.06504205614328384,-0.7261345982551575,-93.61248779296875,0.026606061362232016,20.0,10.0,,0,A,1.0956214511628706,7.9321053426104475,1.0,0.7932105342610447,-45.026640433324935,B,1.0962223717295425,7.97973218353421,1.0,0.797973218353421,44.973431215925935
20260716_204048,11844313391100,70.8671,1,7070559,585192,telemetry_v1,1,0,-0.10774199664592743,-1.656838059425354,9.692024230957031,0.0,0.0,0.0010649999603629112,0.6823761463165283,-0.05357538163661957,0.06505129486322403,-0.7261273264884949,-93.61138916015625,0.02063192930844794,20.0,10.0,,0,A,1.0956893307021565,7.937486543597435,1.0,0.7937486543597436,-45.020652228045165,B,1.0961553234491277,7.974419467887009,1.0,0.7974419467887008,44.97935482004415
