session_id,host_monotonic_timestamp_ns,receive_interval_ms,packet_loss_count,device_timestamp_ms,seq,packet_format,packet_version,flags,ax_m_s2,ay_m_s2,az_m_s2,gx_rad_s,gy_rad_s,gz_rad_s,qw,qx,qy,qz,yaw_deg,calibrated_yaw_deg,sigma_deg,bmax_db,audio_frame_index,calibration_state,source_0_name,source_0_gain_linear,source_0_attention_pct,source_0_distance_factor,source_0_gain_db,source_0_relative_angle_deg,source_1_name,source_1_gain_linear,source_1_attention_pct,source_1_distance_factor,source_1_gain_db,source_1_relative_angle_deg
20260716_204214,11929409903400,,,7155873,592244,telemetry_v1,1,0,-0.11971300095319748,-1.6472610235214233,9.677658081054688,0.0010649999603629112,-0.0010649999603629112,0.0,0.7088834643363953,-0.05564399063587189,0.06328124552965164,-0.700273871421814,-89.35685729980469,0.0,20.0,10.0,,0,A,1.0959223188514788,7.955954316936996,1.0,0.7955954316936996,-45.0,B,1.0959223188514788,7.955954316936996,1.0,0.7955954316936996,45.0
20260716_204214,11929425251400,15.348,1,7155898,592246,telemetry_v1,1,0,-0.11253000050783157,-1.6448659896850586,9.68484115600586,0.0010649999603629112,-0.0021299999207258224,0.0010649999603629112,0.7088843584060669,-0.05573386698961258,0.06311973184347153,-0.7002803683280945,-89.35556030273438,-0.002138626895649082,20.0,10.0,,0,A,1.0959464324040318,7.957865450130029,1.0,0.7957865450130029,-44.99786404029181,B,1.0958981292933287,7.954037117627435,1.0,0.7954037117627435,45.00213927020195
20260716_204214,11929440090600,14.8392,1,7155922,592248,telemetry_v1,1,0,-0.10055900365114212,-1.6161350011825562,9.677658081054688,0.0,-0.0010649999603629112,0.0010649999603629112,0.708898663520813,-0.05573536083102226,0.06251686811447144,-0.7003198266029358,-89.35321807861328,-0.008082704520201003,20.0,10.0,,0,A,1.0960131611993413,7.963153859219426,1.0,0.7963153859219427,-44.99195817167276,B,1.095830605849869,7.948685167190728,1.0,0.7948685167190728,45.00805790224196
20260716_204214,11929500648000,60.5574,1,7155946,592250,telemetry_v1,1,0,-0.1173190027475357,-1.6400779485702515,9.687234878540039,0.0,-0.0021299999207258224,0.0,0.7089123725891113,-0.055567625910043716,0.06301736831665039,-0.7002745270729065,-89.35314178466797,0.001133954495231509,20.0,10.0,,0,A,1.095909490092254,7.9549375492601495,1.0,0.7954937549260149,-45.00113542047346,B,1.095935101637905,7.956967429114179,1.0,0.795696742911418,44.998860047556164
20260716_204214,11929574317200,73.6692,1,7155971,592252,telemetry_v1,1,0,-0.11492499709129333,-1.6448659896850586,9.680051803588867,0.0021299999207258224,-0.0010649999603629112,0.0010649999603629112,0.7089176177978516,-0.05569690093398094,0.0630304291844368,-0.7002576589584351,-89.35062408447266,0.002071194464009517,20.0,10.0,,0,A,1.0958988698007597,7.954095808882368,1.0,0.7954095808882368,-45.002076279122555,B,1.095945649868203,7.957803430472215,1.0,0.7957803430472216,44.99792694795373
20260716_204214,11929588454000,14.1368,1,7155995,592254,telemetry_v1,1,0,-0.1029530018568039,-1.6400779485702515,9.687234878540039,0.0,-0.0010649999603629112,0.0,0.708909273147583,-0.05584690347313881,0.06249801069498062,-0.7003018856048584,-89.35006713867188,-0.00670279377678567,20.0,10.0,,0,A,1.095997409278808,7.961905512654088,1.0,0.7961905512654088,-44.99334814083452,B,1.0958460207775627,7.949906993066873,1.0,0.7949906993066873,45.00668853790081
20260716_204214,11929620043800,31.5898,1,7156019,592256,telemetry_v1,1,0,-0.10534799844026566,-1.6448659896850586,9.670475006103516,0.0010649999603629112,-0.0021299999207258224,0.0010649999603629112,0.7089022994041443,-0.056038547307252884,0.062933050096035,-0.7002547383308411,-89.3487548828125,-0.0020135184010980018,20.0,10.0,,0,A,1.0959447025655715,7.957728352208352,1.0,0.7957728352208351,-44.998000054109085,B,1.0958992253329962,7.954123987698438,1.0,0.7954123987698437,45.00203142757539
20260716_204214,11929649166200,29.1224,1,7156044,592258,telemetry_v1,1,0,-0.11492499709129333,-1.6472610235214233,9.675264358520508,0.0,-0.0021299999207258224,0.0,0.7089216113090515,-0.055811502039432526,0.06342851370573044,-0.7002085447311401,-89.34850311279297,0.008092552236125775,20.0,10.0,,0,A,1.0958309661791064,7.9487137279870685,1.0,0.7948713727987068,-45.00808921501788,B,1.0960137449833558,7.963200124012139,1.0,0.7963200124012139,44.991905082433725
20260716_204214,11929693928700,44.7625,1,7156068,592260,telemetry_v1,1,0,-0.1101360023021698,-1.6424720287322998,9.694417953491211,0.0010649999603629112,-0.0021299999207258224,0.0,0.7089495062828064,-0.05561727657914162,0.06283243745565414,-0.7002496123313904,-89.34648132324219,0.00459043088346685,20.0,10.0,,0,A,1.0958703706691229,7.951836991597946,1.0,0.7951836991597947,-45.00460103521484,B,1.0959740502236472,7.960054264324146,1.0,0.7960054264324146,44.995396732895465
20260716_204214,11929710101100,16.1724,1,7156092,592262,telemetry_v1,1,0,-0.10774199664592743,-1.6424720287322998,9.677658081054688,0.0,-0.0031950001139193773,0.0,0.7089530825614929,-0.055667679756879807,0.06277129799127579,-0.7002474665641785,-89.34525299072266,0.004293022749608957,20.0,10.0,,0,A,1.0958736574246823,7.952097500085159,1.0,0.7952097500085159,-45.0043098165103,B,1.0959706196314825,7.959782380226466,1.0,0.7959782380226466,44.99569363132946
