trajectory,angular_velocity_deg_s,sigma_deg,orientation_delay_ms,source_estimate_delay_ms,source_delay_angular_lag_deg,separator_sdr_db,separator_sdr_label,leakage_linear,pair_count,ideal_stoi_vs_ideal_output_mean,ideal_stoi_vs_ideal_output_sd,ideal_stoi_vs_ideal_output_median,stoi_vs_ideal_output_mean,stoi_vs_ideal_output_sd,stoi_vs_ideal_output_median,stoi_loss_vs_ideal_output_mean,stoi_loss_vs_ideal_output_sd,stoi_loss_vs_ideal_output_median
30_deg_s,30.0,30.0,0.0,0.0,0.0,0.0,0,1.0,100,1.0,4.4186318475541776e-17,1.0,0.9378921710267129,0.03140037948737109,0.9331894911442388,0.062107828973287094,0.031400379487371094,0.06681050885576123
30_deg_s,30.0,30.0,0.0,0.0,0.0,5.0,5,0.5623413251903491,100,1.0,4.4186318475541776e-17,1.0,0.9706670715188469,0.015315528681042684,0.9691489857912328,0.029332928481153115,0.015315528681042693,0.03085101420876729
30_deg_s,30.0,30.0,0.0,0.0,0.0,10.0,10,0.31622776601683794,100,1.0,4.4186318475541776e-17,1.0,0.9878659704308212,0.006473808944896577,0.9870367040613378,0.012134029569178783,0.006473808944896585,0.01296329593866219
30_deg_s,30.0,30.0,0.0,0.0,0.0,20.0,20,0.1,100,1.0,4.4186318475541776e-17,1.0,0.9984098536880227,0.0008654015653578288,0.998348251213828,0.0015901463119772574,0.0008654015653578362,0.0016517487861720248
30_deg_s,30.0,30.0,0.0,0.0,0.0,inf,inf,0.0,100,1.0,4.4186318475541776e-17,1.0,1.0,4.4186318475541776e-17,1.0,0.0,0.0,0.0
30_deg_s,30.0,30.0,0.0,20.0,0.6,0.0,0,1.0,100,1.0,4.4186318475541776e-17,1.0,0.5991813818955471,0.06880068180543364,0.5932156841059795,0.4008186181044528,0.06880068180543365,0.4067843158940206
30_deg_s,30.0,30.0,0.0,20.0,0.6,5.0,5,0.5623413251903491,100,1.0,4.4186318475541776e-17,1.0,0.6516696959204534,0.05932691612006018,0.6529414012712433,0.34833030407954657,0.059326916120060184,0.34705859872875666
30_deg_s,30.0,30.0,0.0,20.0,0.6,10.0,10,0.31622776601683794,100,1.0,4.4186318475541776e-17,1.0,0.6941200405972827,0.06000142452947966,0.6943507157875335,0.30587995940271734,0.060001424529479666,0.30564928421246645
30_deg_s,30.0,30.0,0.0,20.0,0.6,20.0,20,0.1,100,1.0,4.4186318475541776e-17,1.0,0.7378116448221902,0.07273396917269659,0.7322551671968276,0.2621883551778098,0.07273396917269659,0.26774483280317246
30_deg_s,30.0,30.0,0.0,20.0,0.6,inf,inf,0.0,100,1.0,4.4186318475541776e-17,1.0,0.7544469181272123,0.07973159110076619,0.7515417810601974,0.2455530818727877,0.07973159110076619,0.24845821893980252
30_deg_s,30.0,30.0,0.0,40.0,1.2,0.0,0,1.0,100,1.0,4.4186318475541776e-17,1.0,0.44306984314769005,0.09055710385460483,0.4245675019351829,0.55693015685231,0.09055710385460486,0.5754324980648171
30_deg_s,30.0,30.0,0.0,40.0,1.2,5.0,5,0.5623413251903491,100,1.0,4.4186318475541776e-17,1.0,0.5144337849851145,0.08629502447554147,0.4935479793376658,0.4855662150148855,0.08629502447554148,0.5064520206623342
30_deg_s,30.0,30.0,0.0,40.0,1.2,10.0,10,0.31622776601683794,100,1.0,4.4186318475541776e-17,1.0,0.5723684295103394,0.09543196891326833,0.5535113616977936,0.42763157048966055,0.09543196891326834,0.44648863830220636
30_deg_s,30.0,30.0,0.0,40.0,1.2,20.0,20,0.1,100,1.0,4.4186318475541776e-17,1.0,0.6267240692623408,0.114315730075077,0.6081524857204197,0.37327593073765913,0.114315730075077,0.3918475142795803
