trajectory,angular_velocity_deg_s,sigma_deg,orientation_delay_ms,source_estimate_delay_ms,source_delay_angular_lag_deg,separator_sdr_db,separator_sdr_label,leakage_linear,pair_count,tir_improvement_db_mean,tir_improvement_db_sd,tir_improvement_db_median,tir_loss_vs_ideal_db_mean,tir_loss_vs_ideal_db_sd,tir_loss_vs_ideal_db_median,tir_retention_fraction_mean,tir_retention_fraction_sd,tir_retention_fraction_median,si_sdr_physical_improvement_db_mean,si_sdr_physical_improvement_db_sd,si_sdr_physical_improvement_db_median,si_sdr_loss_vs_ideal_db_mean,si_sdr_loss_vs_ideal_db_sd,si_sdr_loss_vs_ideal_db_median,component_si_sdr_loss_vs_ideal_db_mean,component_si_sdr_loss_vs_ideal_db_sd,component_si_sdr_loss_vs_ideal_db_median,gain_error_rms_db_mean,gain_error_rms_db_sd,gain_error_rms_db_median,gain_error_peak_abs_db_mean,gain_error_peak_abs_db_sd,gain_error_peak_abs_db_median,input_tir_db_mean,input_tir_db_sd,input_tir_db_median,output_tir_db_mean,output_tir_db_sd,output_tir_db_median,output_si_sdr_physical_target_db_mean,output_si_sdr_physical_target_db_sd,output_si_sdr_physical_target_db_median,output_si_sdr_component_target_db_mean,output_si_sdr_component_target_db_sd,output_si_sdr_component_target_db_median
30_deg_s,30.0,10.0,0.0,40.0,1.2,0.0,0,1.0,100,0.037773337834462475,1.5840185589634577,-0.01991733024286424,-6.566622635166628,2.0127920582506906,-6.621961238386354,-0.354629258551552,1.2547668543856738,-0.0023674941844865696,-27.019938522354146,12.381934419027186,-25.483287050924556,-29.777333705620414,11.334216095816823,-28.847741546117426,-6.676280493142322,1.9427181185415228,-6.6479328635566,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,-0.3488094715880181,12.643229236476245,-0.10133111933148312,-27.2582608216161,11.755801687067056,-25.49445755822467,-0.31981418242791126,12.461484048663275,-0.08644280013735711
30_deg_s,30.0,10.0,0.0,40.0,1.2,5.0,5,0.5623413251903491,100,1.828148834245333,1.641591293461951,1.9412363018830958,-4.776247138755759,1.655560373223853,-4.865035380101194,0.08522071076359666,0.6787885128548387,0.2680733264948977,-25.93698453130285,11.784386008713271,-25.248527112162904,-28.69437971456912,10.733670950611959,-28.20065972942416,-4.8852070308055415,1.5909372504715975,-4.939491586498951,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,1.4415660248228523,12.637302041189837,1.869493738789839,-26.175306830564807,10.859254294913525,-24.503720274744992,1.4712592799088693,12.470710650069055,1.960329475075784
30_deg_s,30.0,10.0,0.0,40.0,1.2,10.0,10,0.31622776601683794,100,3.3813946789425438,1.7385957745589744,3.6408317542276243,-3.2230012940585473,1.3937441941207462,-3.3208977119712433,0.4824532392089393,0.3655775220451693,0.5225669214803346,-25.245669459553355,11.772990529546577,-25.014300058333944,-28.003064642819623,10.648589923722263,-27.857736533858024,-3.332859394051231,1.3458105962390898,-3.3580929029729547,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,2.9948118695200634,12.60356419938245,3.643953259999946,-25.48399175881531,10.578278035565694,-24.21961765785342,3.023606916663179,12.452828827266512,3.684523049977849
30_deg_s,30.0,10.0,0.0,40.0,1.2,20.0,20,0.1,100,5.382502841193215,1.9382109367542626,5.884892930097817,-1.2218931318078756,1.1959123170429171,-1.230331764751286,1.0154573044160147,0.9618396533315612,0.8285442344852845,-24.294292957982666,11.602073196627535,-24.044449947247237,-27.05168814124894,10.324743619006712,-27.83950526948918,-1.3344359766720872,1.1905658906337728,-1.2979456415340316,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,4.995920031770735,12.52178286309963,5.755037645750718,-24.532615257244625,9.985738492232027,-23.51684572151314,5.022030334042324,12.394554113938915,5.763345757984314
30_deg_s,30.0,10.0,0.0,40.0,1.2,inf,inf,0.0,100,6.650205294652015,2.1186312035640804,7.125175746760801,0.04580932165092409,1.2160189912519956,0.08692958283453267,1.3654905375721647,1.5283423746017963,1.0144376315248422,-23.84860680197433,11.601461201288124,-23.439639231260937,-26.606001985240603,10.277871933404617,-27.6946309116298,-0.06909607759660104,1.2438711419317945,0.06439684973625859,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,6.263622485229535,12.44924158209592,6.919122591900312,-24.08692910123629,9.716064512982136,-23.213343034244566,6.28737023311781,12.338530895397373,6.863502148519498
30_deg_s,30.0,10.0,0.0,80.0,2.4,0.0,0,1.0,100,0.022220548460300266,1.9683357597993896,0.3636289282778151,-6.582175424540791,3.000130812462738,-6.935802963259584,-0.02845028233623682,0.6987238786495714,0.049425485622498884,-31.149289379857677,12.902862201537042,-29.494264209720445,-33.906684563123946,11.452810231185783,-33.31824040094578,-6.838262184694816,2.6760008264171646,-6.95946619865359,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,-0.3643622609621802,12.043929674664556,0.08548212190633075,-31.387611679119633,10.762562063183177,-30.201717135074162,-0.4817958739804058,12.406602183916334,0.23907636246710637
30_deg_s,30.0,10.0,0.0,80.0,2.4,5.0,5,0.5623413251903491,100,1.8124983734203353,1.9610865424649957,1.9332017235363632,-4.791897599580756,2.7476749706061945,-4.967303291463237,0.41583664215630506,0.9890484927482416,0.3154441153855601,-30.523576618152607,13.131813528138315,-28.20182012724962,-33.28097180141888,11.628511883734255,-31.98942115298419,-5.040285552347271,2.4516278640373845,-4.991502312314379,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,1.4259155639978547,12.028292019846319,1.985264436843387,-30.761898917414566,10.956639875143582,-29.489053458403824,1.3161807583671392,12.382773317312118,2.0125076439090153
30_deg_s,30.0,10.0,0.0,80.0,2.4,10.0,10,0.31622776601683794,100,3.3664302608286483,2.011984578713487,3.689714785092762,-3.2379657121724432,2.5858581754969343,-3.3798457733642033,0.8173588669084119,1.4898771669223165,0.5431428193219598,-30.13672791083625,13.538792667112208,-27.724699824328972,-32.89412309410252,12.11801933748667,-30.821602224238802,-3.480717570622059,2.317453137118842,-3.4167255428437544,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,2.9798474514061675,11.985717414990752,3.5547598922085264,-30.37505021009821,11.27884688852783,-29.390902689287262,2.875748740092351,12.334181116357003,3.6260221044655467
30_deg_s,30.0,10.0,0.0,80.0,2.4,20.0,20,0.1,100,5.369917270586892,2.1688964559909247,5.833315982708109,-1.2344787024141992,2.485635578778802,-1.205060929021895,1.3569279173726463,2.3017191516391624,0.8472802018451882,-29.11569861117756,12.890745175335779,-26.107261646380337,-31.873093794443832,11.190838478915435,-30.749617218937754,-1.471155570617924,2.256399520296614,-1.2321734757661718,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,4.983334461164412,11.892003203540243,5.703416098911836,-29.35402091043952,9.966183131170748,-28.584237330262507,4.885310740096487,12.234069699446227,5.77799784027723
30_deg_s,30.0,10.0,0.0,80.0,2.4,inf,inf,0.0,100,6.640399198037802,2.3317099642283226,7.144022740987436,0.03600322503671086,2.5073895913550133,0.25006298972509455,1.7121224661030152,2.886818561977898,1.0373472947732645,-28.724550815134926,12.895662318262154,-25.948372477099053,-31.481945998401194,11.154344064929262,-30.37362916835603,-0.19741225027850196,2.303702642452542,0.2162605619877822,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,6.253816388615322,11.811616060809866,6.9605432847459525,-28.96287311439688,9.635879776098031,-28.308499447873203,6.159054060435908,12.15033749214765,6.908374114549841
