trajectory,angular_velocity_deg_s,sigma_deg,orientation_delay_ms,source_estimate_delay_ms,source_delay_angular_lag_deg,tir_retention_threshold,si_sdr_loss_metric,max_si_sdr_loss_db,minimum_separator_sdr_db,minimum_separator_sdr_label,acceptable,tir_retention_fraction_mean,tir_loss_vs_ideal_db_mean,si_sdr_loss_vs_ideal_db_mean,component_si_sdr_loss_vs_ideal_db_mean
120_deg_s,120.0,60.0,0.0,160.0,19.2,0.9,component,1.0,inf,inf,True,0.9451897783597646,-0.1642812804657062,-35.807815540145576,-0.1509472107619826
120_deg_s,120.0,60.0,0.0,200.0,24.0,0.9,component,1.0,inf,inf,True,0.9327317204719175,-0.18703073311416799,-35.85241582631743,-0.1752927868699355
30_deg_s,30.0,10.0,0.0,0.0,0.0,0.9,component,1.0,inf,inf,True,1.0,0.0,0.0,0.0
30_deg_s,30.0,10.0,0.0,20.0,0.6,0.9,component,1.0,inf,inf,True,1.2014130892064079,0.019515578680887512,-28.370330036911145,-0.23226877044415672
30_deg_s,30.0,10.0,0.0,40.0,1.2,0.9,component,1.0,inf,inf,True,1.3654905375721647,0.04580932165092409,-26.606001985240603,-0.06909607759660104
30_deg_s,30.0,10.0,0.0,80.0,2.4,0.9,component,1.0,inf,inf,True,1.7121224661030152,0.03600322503671086,-31.481945998401194,-0.19741225027850196
30_deg_s,30.0,10.0,0.0,120.0,3.6,0.9,component,1.0,inf,inf,True,2.023082227367139,0.03047639894292111,-33.600038581997524,-0.08274859099563357
30_deg_s,30.0,10.0,0.0,160.0,4.8,0.9,component,1.0,inf,inf,True,2.4126933611373302,-0.006725614364714621,-34.220669675195175,-0.02579798632816393
30_deg_s,30.0,10.0,0.0,200.0,6.0,0.9,component,1.0,inf,inf,True,2.7034854341180043,-0.08197057296690197,-33.622074216896586,-0.33549273586744854
30_deg_s,30.0,20.0,0.0,0.0,0.0,0.9,component,1.0,inf,inf,True,1.0,0.0,0.0,0.0
30_deg_s,30.0,20.0,0.0,20.0,0.6,0.9,component,1.0,inf,inf,True,1.0140931867145395,0.019025370945412245,-29.72601365714127,-0.3013915514699865
30_deg_s,30.0,20.0,0.0,40.0,1.2,0.9,component,1.0,inf,inf,True,1.0274957431401222,0.04397016805388774,-28.72832450143492,-0.10435115113698451
30_deg_s,30.0,20.0,0.0,80.0,2.4,0.9,component,1.0,inf,inf,True,1.055755942949142,0.05074496724547333,-33.701930515634764,-0.10156620283950021
30_deg_s,30.0,20.0,0.0,120.0,3.6,0.9,component,1.0,inf,inf,True,1.0836746610776573,0.09437531891414438,-35.10955729965115,0.03688590253747482
30_deg_s,30.0,20.0,0.0,160.0,4.8,0.9,component,1.0,inf,inf,True,1.110717529571277,0.11999324786864235,-36.384894993293365,0.1522186722723007
