frame_start,frames,status_flags,input_adc_time,current_time,output_dac_time,perf_counter_ns
0,512,0,141031.99489770803,141032.085584666,141032.18173104135,141032086051583
512,512,0,141032.0055643747,141032.085584666,141032.19239770802,141032086118958
1024,512,0,141032.01623104137,141032.085584666,141032.20306437468,141032086168666
1536,512,0,141032.02689770804,141032.085584666,141032.21373104135,141032086209250
2048,512,0,141032.0375643747,141032.085584666,141032.22439770802,141032086250750
2560,512,0,141032.04823104138,141032.085584666,141032.2350643747,141032086294375
3072,512,0,141032.05889770805,141032.085584666,141032.24573104136,141032086335166
3584,512,0,141032.06956437472,141032.085584666,141032.25639770803,141032086373083
4096,512,0,141032.08023104104,141032.17089775,141032.26706437435,141032171132750
4608,512,0,141032.0908977077,141032.17089775,141032.27773104102,141032171190208
5120,512,0,141032.10156437437,141032.17089775,141032.28839770769,141032171244666
5632,512,0,141032.11223104104,141032.17089775,141032.29906437435,141032171294333
6144,512,0,141032.1228977077,141032.17089775,141032.30973104102,141032171342375
6656,512,0,141032.13356437438,141032.17089775,141032.3203977077,141032171394541
7168,512,0,141032.14423104105,141032.17089775,141032.33106437436,141032171441916
7680,512,0,141032.15489770772,141032.17089775,141032.34173104103,141032171486083
8192,512,0,141032.16556437503,141032.256263416,141032.35239770834,141032256597625
8704,512,0,141032.1762310417,141032.256263416,141032.363064375,141032256650916
9216,512,0,141032.18689770836,141032.256263416,141032.37373104168,141032256704166
9728,512,0,141032.19756437503,141032.256263416,141032.38439770835,141032256747750
10240,512,0,141032.2082310417,141032.256263416,141032.395064375,141032256785916
10752,512,0,141032.21889770837,141032.256263416,141032.40573104168,141032256835041
11264,512,0,141032.22956437504,141032.256263416,141032.41639770835,141032256874625
11776,512,0,141032.2402310417,141032.256263416,141032.42706437502,141032256912208
12288,512,0,141032.25089770803,141032.34163095802,141032.43773104134,141032341896833
12800,512,0,141032.2615643747,141032.34163095802,141032.448397708,141032341947708
13312,512,0,141032.27223104137,141032.34163095802,141032.45906437468,141032341999291
13824,512,0,141032.28289770804,141032.34163095802,141032.46973104135,141032342038083
14336,512,0,141032.2935643747,141032.34163095802,141032.48039770802,141032342078208
14848,512,0,141032.30423104137,141032.34163095802,141032.49106437468,141032342120500
15360,512,0,141032.31489770804,141032.34163095802,141032.50173104135,141032342170458
