frame_start,frames,status_flags,input_adc_time,current_time,output_dac_time,perf_counter_ns
0,512,0,142078.130851916,142078.221494625,142078.31768524932,142078221812500
512,512,0,142078.14151858268,142078.221494625,142078.328351916,142078221902583
1024,512,0,142078.15218524935,142078.221494625,142078.33901858266,142078221951500
1536,512,0,142078.16285191601,142078.221494625,142078.34968524933,142078221999875
2048,512,0,142078.17351858268,142078.221494625,142078.360351916,142078222042041
2560,512,0,142078.18418524935,142078.221494625,142078.37101858266,142078222085375
3072,512,0,142078.19485191602,142078.221494625,142078.38168524933,142078222126500
3584,512,0,142078.2055185827,142078.221494625,142078.392351916,142078222164041
4096,512,0,142078.21618525003,142078.306782291,142078.40301858334,142078307066500
4608,512,0,142078.2268519167,142078.306782291,142078.41368525,142078307117666
5120,512,0,142078.23751858337,142078.306782291,142078.42435191668,142078307169041
5632,512,0,142078.24818525004,142078.306782291,142078.43501858335,142078307211916
6144,512,0,142078.2588519167,142078.306782291,142078.44568525002,142078307252916
6656,512,0,142078.26951858337,142078.306782291,142078.45635191668,142078307296791
7168,512,0,142078.28018525004,142078.306782291,142078.46701858335,142078307342500
7680,512,0,142078.2908519167,142078.306782291,142078.47768525002,142078307380125
8192,512,0,142078.30151858303,142078.392068416,142078.48835191634,142078392261083
8704,512,0,142078.3121852497,142078.392068416,142078.499018583,142078392309833
9216,512,0,142078.32285191637,142078.392068416,142078.50968524968,142078392355833
9728,512,0,142078.33351858304,142078.392068416,142078.52035191635,142078392396125
10240,512,0,142078.3441852497,142078.392068416,142078.53101858302,142078392435041
10752,512,0,142078.35485191637,142078.392068416,142078.5416852497,142078392477458
11264,512,0,142078.36551858304,142078.392068416,142078.55235191635,142078392523083
11776,512,0,142078.3761852497,142078.392068416,142078.56301858302,142078392560833
12288,512,0,142078.38685191603,142078.47733475,142078.57368524934,142078477511208
12800,512,0,142078.3975185827,142078.47733475,142078.584351916,142078477558041
13312,512,0,142078.40818524937,142078.47733475,142078.59501858268,142078477607791
13824,512,0,142078.41885191604,142078.47733475,142078.60568524935,142078477647041
14336,512,0,142078.4295185827,142078.47733475,142078.61635191602,142078477687000
14848,512,0,142078.44018524938,142078.47733475,142078.6270185827,142078477729500
15360,512,0,142078.45085191604,142078.47733475,142078.63768524936,142078477769625
15872,512,0,142078.4615185827,142078.47733475,142078.64835191602,142078477806875
