session_id,host_monotonic_timestamp_ns,receive_interval_ms,packet_loss_count,device_timestamp_ms,seq,packet_format,packet_version,flags,ax_m_s2,ay_m_s2,az_m_s2,gx_rad_s,gy_rad_s,gz_rad_s,qw,qx,qy,qz,yaw_deg,calibrated_yaw_deg,sigma_deg,bmax_db,audio_frame_index,calibration_state,run_id,run_type,position_index,reference_angle_commanded_deg,reference_angle_normalized_deg,is_closure_measurement,segment_kind,segment_phase,include_in_analysis,segment_elapsed_s,operator_event
20260716_211257,15997365962300,173.1592,1,11223351,921282,telemetry_v1,1,0,-0.10774199664592743,-1.6496549844741821,9.672868728637695,0.0,-0.0021299999207258224,0.0010649999603629112,0.45865896344184875,-0.04372602328658104,-0.07223024219274521,0.8845919370651245,125.13294982910156,121.50328338758209,,,,0,drift_after,drift_after,0,0,0,false,drift_after,stationary,true,0.1032148,drift_after
20260716_211257,15997380751000,14.7887,1,11223375,921284,telemetry_v1,1,0,-0.1101360023021698,-1.6257120370864868,9.689628601074219,0.0010649999603629112,-0.0021299999207258224,-0.0010649999603629112,0.45866659283638,-0.043491873890161514,-0.07157659530639648,0.8846526145935059,125.1349105834961,121.50419760566392,,,,0,drift_after,drift_after,0,0,0,false,drift_after,stationary,true,0.1180035,drift_after
20260716_211257,15997403997400,23.2464,1,11223399,921286,telemetry_v1,1,0,-0.11253000050783157,-1.6472610235214233,9.670475006103516,0.0010649999603629112,-0.0010649999603629112,0.0,0.4586692154407501,-0.04336361587047577,-0.07173307240009308,0.8846449255943298,125.1359634399414,121.50733283988458,,,,0,drift_after,drift_after,0,0,0,false,drift_after,stationary,true,0.1412499,drift_after
20260716_211257,15997418895500,14.8981,1,11223424,921288,telemetry_v1,1,0,-0.1101360023021698,-1.6616259813308716,9.670475006103516,0.0,-0.0021299999207258224,0.0010649999603629112,0.45862114429473877,-0.04380187764763832,-0.07225316017866135,0.8846058249473572,125.13692474365234,121.50660798680563,,,,0,drift_after,drift_after,0,0,0,false,drift_after,stationary,true,0.156148,drift_after
20260716_211257,15997420918700,2.0232,1,11223448,921290,telemetry_v1,1,0,-0.12450200319290161,-1.6472610235214233,9.682445526123047,0.0010649999603629112,-0.0021299999207258224,0.0010649999603629112,0.4585587680339813,-0.04433051496744156,-0.07180672138929367,0.8846482634544373,125.13906860351562,121.5011906394771,,,,0,drift_after,drift_after,0,0,0,false,drift_after,stationary,true,0.1581712,drift_after
20260716_211257,15997486614700,65.696,1,11223472,921292,telemetry_v1,1,0,-0.12450200319290161,-1.6592320203781128,9.677658081054688,-0.0010649999603629112,-0.0021299999207258224,0.0,0.45852479338645935,-0.0446569062769413,-0.07236293703317642,0.8846040964126587,125.13939666748047,121.50113958781273,,,,0,drift_after,drift_after,0,0,0,false,drift_after,stationary,true,0.2238672,drift_after
20260716_211257,15997502011800,15.3971,1,11223497,921294,telemetry_v1,1,0,-0.1101360023021698,-1.6376830339431763,9.694417953491211,0.0,-0.0010649999603629112,0.0010649999603629112,0.4585312604904175,-0.044489871710538864,-0.07247734069824219,0.8845997452735901,125.14044189453125,121.5044340003148,,,,0,drift_after,drift_after,0,0,0,false,drift_after,stationary,true,0.2392643,drift_after
20260716_211257,15997599193100,97.1813,1,11223521,921296,telemetry_v1,1,0,-0.10774199664592743,-1.6328949928283691,9.672868728637695,0.0010649999603629112,-0.0010649999603629112,-0.0010649999603629112,0.4585852324962616,-0.043878231197595596,-0.0721820667386055,0.8846266269683838,125.14071655273438,121.50924554564506,,,,0,drift_after,drift_after,0,0,0,false,drift_after,stationary,true,0.3364456,drift_after
20260716_211257,15997659003400,59.8103,1,11223545,921298,telemetry_v1,1,0,-0.12450200319290161,-1.6640199422836304,9.68484115600586,0.0010649999603629112,-0.0010649999603629112,0.0010649999603629112,0.458539754152298,-0.04423769190907478,-0.07208679616451263,0.8846399784088135,125.1424560546875,121.50692404925059,,,,0,drift_after,drift_after,0,0,0,false,drift_after,stationary,true,0.3962559,drift_after
20260716_211257,15997667015300,8.0119,1,11223570,921300,telemetry_v1,1,0,-0.12210799753665924,-1.6544430255889893,9.670475006103516,0.0,-0.0010649999603629112,0.0021299999207258224,0.45851606130599976,-0.04421921446919441,-0.07210011780261993,0.8846520781517029,125.14570617675781,121.51041312953613,,,,0,drift_after,drift_after,0,0,0,false,drift_after,stationary,true,0.4042678,drift_after
20260716_211257,15997673803600,6.7883,1,11223594,921302,telemetry_v1,1,0,-0.13168500363826752,-1.6424720287322998,9.677658081054688,0.0,-0.0021299999207258224,0.0010649999603629112,0.4585150182247162,-0.04409930482506752,-0.0719686821103096,0.884669303894043,125.14727783203125,121.51249410937646,,,,0,drift_after,drift_after,0,0,0,false,drift_after,stationary,true,0.4110561,drift_after
20260716_211257,15997687773000,13.9694,1,11223618,921304,telemetry_v1,1,0,-0.10534799844026566,-1.6640199422836304,9.677658081054688,0.0010649999603629112,-0.0010649999603629112,0.0010649999603629112,0.4585193395614624,-0.04389692842960358,-0.07201844453811646,0.8846731185913086,125.14904022216797,121.5165025518503,,,,0,drift_after,drift_after,0,0,0,false,drift_after,stationary,true,0.4250255,drift_after
20260716_211257,15997808905700,121.1327,1,11223643,921306,telemetry_v1,1,0,-0.12210799753665924,-1.6496549844741821,9.68484115600586,-0.0010649999603629112,-0.0010649999603629112,0.0010649999603629112,0.45849937200546265,-0.044040460139513016,-0.07216433435678482,0.8846644163131714,125.14988708496094,121.51667674937678,,,,0,drift_after,drift_after,0,0,0,false,drift_after,stationary,true,0.5461582,drift_after
20260716_211257,15997824152300,15.2466,1,11223667,921308,telemetry_v1,1,0,-0.12210799753665924,-1.6496549844741821,9.675264358520508,0.0010649999603629112,-0.0031950001139193773,0.0,0.4584576189517975,-0.04448552057147026,-0.07227349281311035,0.8846548795700073,125.15006256103516,121.51299721080372,,,,0,drift_after,drift_after,0,0,0,false,drift_after,stationary,true,0.5614048,drift_after
20260716_211257,15997853738800,29.5865,1,11223691,921310,telemetry_v1,1,0,-0.1173190027475357,-1.652048945426941,9.682445526123047,0.0,-0.0021299999207258224,0.0010649999603629112,0.4584639072418213,-0.04421093687415123,-0.07195007055997849,0.8846917152404785,125.15257263183594,121.51655801963265,,,,0,drift_after,drift_after,0,0,0,false,drift_after,stationary,true,0.5909913,drift_after
20260716_211257,15997884624000,30.8852,1,11223715,921312,telemetry_v1,1,0,-0.11253000050783157,-1.6472610235214233,9.670475006103516,0.0010649999603629112,-0.0010649999603629112,0.0021299999207258224,0.45847341418266296,-0.04387083649635315,-0.0721815824508667,0.8846849203109741,125.15515899658203,121.52370787627426,,,,0,drift_after,drift_after,0,0,0,false,drift_after,stationary,true,0.6218765,drift_after
20260716_211257,15997906961400,22.3374,1,11223740,921314,telemetry_v1,1,0,-0.1101360023021698,-1.6592320203781128,9.680051803588867,0.0,-0.0031950001139193773,0.0010649999603629112,0.45844411849975586,-0.0440630204975605,-0.07250422239303589,0.8846641778945923,125.1565933227539,121.52487092689528,,,,0,drift_after,drift_after,0,0,0,false,drift_after,stationary,true,0.6442139,drift_after
20260716_211257,15997950432500,43.4711,1,11223764,921316,telemetry_v1,1,0,-0.10774199664592743,-1.6400779485702515,9.682445526123047,0.0010649999603629112,-0.0010649999603629112,0.0010649999603629112,0.4584534466266632,-0.04375218600034714,-0.07200342416763306,0.8847156763076782,125.15917205810547,121.52795523362971,,,,0,drift_after,drift_after,0,0,0,false,drift_after,stationary,true,0.687685,drift_after
