session_id,host_monotonic_timestamp_ns,receive_interval_ms,packet_loss_count,device_timestamp_ms,seq,packet_format,packet_version,flags,ax_m_s2,ay_m_s2,az_m_s2,gx_rad_s,gy_rad_s,gz_rad_s,qw,qx,qy,qz,yaw_deg,calibrated_yaw_deg,sigma_deg,bmax_db,audio_frame_index,calibration_state,run_id,run_type,position_index,reference_angle_commanded_deg,reference_angle_normalized_deg,is_closure_measurement,segment_kind,segment_phase,include_in_analysis,segment_elapsed_s,operator_event
20260716_211257,13784400001800,74.3248,1,9010891,743304,telemetry_v1,1,0,-0.09337600320577621,-1.656838059425354,9.663291931152344,0.0,-0.0010649999603629112,0.0,0.9958410859107971,-0.08433855324983597,0.0025910704862326384,0.034362468868494034,3.89947509765625,0.0022497268469877482,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.072813,drift_before
20260716_211257,13784430583300,30.5815,1,9010915,743306,telemetry_v1,1,0,-0.11492499709129333,-1.6448659896850586,9.680051803588867,0.0,-0.0010649999603629112,0.0,0.9958481788635254,-0.08422570675611496,0.0029854904860258102,0.03440476208925247,3.9005935192108154,0.010868659781926344,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.1033945,drift_before
20260716_211257,13784445943500,15.3602,1,9010939,743308,telemetry_v1,1,0,-0.10055900365114212,-1.6281059980392456,9.680051803588867,0.0,-0.0010649999603629112,0.0,0.9958710670471191,-0.08398186415433884,0.0024969475343823433,0.034374382346868515,3.901961088180542,0.0026915280368866546,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.1187547,drift_before
20260716_211257,13784474519900,28.5764,1,9010963,743310,telemetry_v1,1,0,-0.11253000050783157,-1.635288953781128,9.675264358520508,0.0,-0.0010649999603629112,0.0,0.995892345905304,-0.08371860533952713,0.0026434229221194983,0.03439141437411308,3.902672290802002,0.006040820385950229,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.1473311,drift_before
20260716_211257,13784505559400,31.0395,1,9010988,743312,telemetry_v1,1,0,-0.13886700570583344,-1.6328949928283691,9.680051803588867,0.0010649999603629112,-0.0021299999207258224,0.0010649999603629112,0.9958773255348206,-0.08385124057531357,0.0032526643481105566,0.03445125371217728,3.9036059379577637,0.018764487009038922,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.1783706,drift_before
20260716_211257,13784520702000,15.1426,1,9011012,743314,telemetry_v1,1,0,-0.11971300095319748,-1.6640199422836304,9.680051803588867,0.0010649999603629112,-0.0021299999207258224,0.0,0.9958193302154541,-0.08454291522502899,0.0031781557481735945,0.034444861114025116,3.9031057357788086,0.017292252384018304,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.1935132,drift_before
20260716_211257,13784550594000,29.892,1,9011036,743316,telemetry_v1,1,0,-0.09816499799489975,-1.6448659896850586,9.682445526123047,0.0,-0.0010649999603629112,0.0,0.9958428740501404,-0.08430681377649307,0.0024839751422405243,0.03439704328775406,3.9044742584228516,0.005170917933878457,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.2234052,drift_before
20260716_211257,13784578567900,27.9739,1,9011061,743318,telemetry_v1,1,0,-0.09816499799489975,-1.6400779485702515,9.675264358520508,0.0010649999603629112,-0.0021299999207258224,0.0,0.9958680868148804,-0.08401063829660416,0.002413978334516287,0.03439600020647049,3.905207633972168,0.004363671822254706,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.2513791,drift_before
20260716_211257,13784639699400,61.1315,1,9011085,743320,telemetry_v1,1,0,-0.11492499709129333,-1.6424720287322998,9.670475006103516,0.0,-0.0021299999207258224,0.0,0.9958520531654358,-0.08415604382753372,0.0030181563924998045,0.03445671126246452,3.906262159347534,0.01711964278192201,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.3125106,drift_before
20260716_211257,13784655047500,15.3481,1,9011109,743322,telemetry_v1,1,0,-0.1268959939479828,-1.6424720287322998,9.672868728637695,0.0,-0.0010649999603629112,0.0,0.9958370923995972,-0.08430629968643188,0.003360068192705512,0.03449536859989166,3.9072952270507812,0.024818445998694358,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.3278587,drift_before
20260716_211257,13784685960600,30.9131,1,9011133,743324,telemetry_v1,1,0,-0.1101360023021698,-1.6448659896850586,9.682445526123047,0.0,-0.0010649999603629112,0.0010649999603629112,0.9958541989326477,-0.08413520455360413,0.002801923779770732,0.03446592390537262,3.9094021320343018,0.01609139976193248,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.3587718,drift_before
20260716_211257,13784713769800,27.8092,1,9011158,743326,telemetry_v1,1,0,-0.10534799844026566,-1.652048945426941,9.692024230957031,0.0010649999603629112,-0.004261000081896782,0.0010649999603629112,0.9958586096763611,-0.08408902585506439,0.002670309040695429,0.034460488706827164,3.910072088241577,0.01420304805172555,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.386581,drift_before
20260716_211257,13784743686700,29.9169,1,9011182,743328,telemetry_v1,1,0,-0.13647300004959106,-1.635288953781128,9.689628601074219,0.0,-0.0010649999603629112,0.0010649999603629112,0.9958669543266296,-0.08393605053424835,0.003352503990754485,0.03453369066119194,3.912010908126831,0.029143541959336022,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.4164979,drift_before
20260716_211257,13784758540000,14.8533,1,9011206,743330,telemetry_v1,1,0,-0.10774199664592743,-1.6664149761199951,9.668081283569336,0.0,-0.0010649999603629112,0.0,0.9958188533782959,-0.08453637361526489,0.002920295111835003,0.03449702262878418,3.911552906036377,0.020782458007238342,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.4313512,drift_before
20260716_211257,13784774190300,15.6503,1,9011231,743332,telemetry_v1,1,0,-0.10774199664592743,-1.6328949928283691,9.668081283569336,0.0,-0.0010649999603629112,0.0,0.9958182573318481,-0.08454643934965134,0.002855191705748439,0.0344935841858387,3.91178035736084,0.019766325909671607,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.4470015,drift_before
20260716_211257,13784805043900,30.8536,1,9011255,743334,telemetry_v1,1,0,-0.1173190027475357,-1.6472610235214233,9.677658081054688,0.0010649999603629112,-0.0010649999603629112,0.0010649999603629112,0.9958420991897583,-0.0842503234744072,0.0030104017350822687,0.03451694920659065,3.9131557941436768,0.023926110134043898,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.4778551,drift_before
20260716_211257,13784820969500,15.9256,1,9011279,743336,telemetry_v1,1,0,-0.09577000141143799,-1.6400779485702515,9.680051803588867,0.0010649999603629112,0.0,0.0010649999603629112,0.9958665370941162,-0.08400200307369232,0.002338021295145154,0.03446901962161064,3.9142842292785645,0.0119741219740377,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.4937807,drift_before
20260716_211257,13784850619200,29.6497,1,9011304,743338,telemetry_v1,1,0,-0.10534799844026566,-1.656838059425354,9.68484115600586,0.0,-0.0021299999207258224,0.0,0.9958388209342957,-0.08430810272693634,0.0025939117185771465,0.03450464457273483,3.9157111644744873,0.0185202895253247,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.5234304,drift_before
20260716_211257,13784879466500,28.8473,1,9011328,743340,telemetry_v1,1,0,-0.11253000050783157,-1.635288953781128,9.680051803588867,0.0010649999603629112,0.0,0.0010649999603629112,0.9958919882774353,-0.0836545005440712,0.0028755643870681524,0.03453938290476799,3.917407751083374,0.025190617046741918,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.5522777,drift_before
20260716_211257,13784895113400,15.6469,1,9011352,743342,telemetry_v1,1,0,-0.12450200319290161,-1.6448659896850586,9.692024230957031,0.0,-0.0021299999207258224,0.0,0.9958571791648865,-0.08405224233865738,0.003086262848228216,0.03455799072980881,3.9172534942626953,0.029348532377686195,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.5679246,drift_before
20260716_211257,13784938816900,43.7035,1,9011376,743344,telemetry_v1,1,0,-0.11253000050783157,-1.635288953781128,9.680051803588867,0.0,0.0,0.0010649999603629112,0.995898425579071,-0.08356412500143051,0.0029950772877782583,0.03456174582242966,3.9188849925994873,0.028903058809385217,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.6116281,drift_before
20260716_211257,13784969296100,30.4792,1,9011401,743346,telemetry_v1,1,0,-0.10774199664592743,-1.6472610235214233,9.687234878540039,-0.0010649999603629112,-0.0021299999207258224,0.0,0.9958484768867493,-0.08418288081884384,0.0026169209741055965,0.03452970087528229,3.918433427810669,0.02159996938905747,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.6421073,drift_before
20260716_211257,13784985204200,15.9081,1,9011425,743348,telemetry_v1,1,0,-0.09098199754953384,-1.6472610235214233,9.670475006103516,0.0,0.0,0.0010649999603629112,0.9958629608154297,-0.08402717113494873,0.002258658641949296,0.034515246748924255,3.920311212539673,0.016493470540928028,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.6580154,drift_before
20260716_211257,13785029338000,44.1338,1,9011449,743350,telemetry_v1,1,0,-0.11492499709129333,-1.6496549844741821,9.68484115600586,0.0,-0.0021299999207258224,0.0021299999207258224,0.9958299994468689,-0.08437293022871017,0.00284389965236187,0.034579623490571976,3.9218335151672363,0.029488000915795044,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.7021492,drift_before
20260716_211257,13785058504100,29.1661,1,9011474,743352,telemetry_v1,1,0,-0.11492499709129333,-1.6472610235214233,9.680051803588867,0.0,-0.0021299999207258224,0.0010649999603629112,0.9958354830741882,-0.08429814875125885,0.002893528901040554,0.03460201248526573,3.9239649772644043,0.032521943841995804,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.7313153,drift_before
20260716_211257,13785104871200,46.3671,1,9011498,743354,telemetry_v1,1,0,-0.11253000050783157,-1.6424720287322998,9.69681167602539,0.0010649999603629112,-0.0021299999207258224,0.0021299999207258224,0.9958661794662476,-0.083949975669384,0.002522104885429144,0.03459375351667404,3.9268059730529785,0.027996332237376798,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.7776824,drift_before
20260716_211257,13785148485600,43.6144,1,9011522,743356,telemetry_v1,1,0,-0.1268959939479828,-1.6305010318756104,9.663291931152344,0.0010649999603629112,-0.0021299999207258224,0.0,0.9958740472793579,-0.08380897343158722,0.0031854368280619383,0.034654565155506134,3.927508592605591,0.04134530858676848,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.8212968,drift_before
20260716_211257,13785163464100,14.9785,1,9011546,743358,telemetry_v1,1,0,-0.11253000050783157,-1.656838059425354,9.675264358520508,-0.0010649999603629112,-0.0021299999207258224,0.0010649999603629112,0.9958164691925049,-0.08450198173522949,0.002947657834738493,0.034647852182388306,3.9285454750061035,0.038278409545250046,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.8362753,drift_before
20260716_211257,13785179432300,15.9682,1,9011571,743360,telemetry_v1,1,0,-0.11253000050783157,-1.6448659896850586,9.675264358520508,0.0010649999603629112,-0.0021299999207258224,0.0,0.9958359003067017,-0.08428838104009628,0.002682929392904043,0.034630030393600464,3.9291956424713135,0.033700686559992046,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.8522435,drift_before
20260716_211257,13785209867000,30.4347,1,9011595,743362,telemetry_v1,1,0,-0.1173190027475357,-1.6305010318756104,9.680051803588867,0.0,-0.0010649999603629112,0.0,0.9958807826042175,-0.08372683823108673,0.003035734873265028,0.03467145562171936,3.9309229850769043,0.041829758138190835,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.8826782,drift_before
20260716_211257,13785238464200,28.5972,1,9011619,743364,telemetry_v1,1,0,-0.10774199664592743,-1.6400779485702515,9.68484115600586,0.0,-0.0010649999603629112,0.0021299999207258224,0.995856761932373,-0.08404760807752609,0.0023931018076837063,0.03463676571846008,3.9328954219818115,0.03167317583947519,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.9112754,drift_before
20260716_211257,13785269041800,30.5776,1,9011643,743366,telemetry_v1,1,0,-0.11492499709129333,-1.6472610235214233,9.670475006103516,0.0,-0.0021299999207258224,0.0010649999603629112,0.9958540201187134,-0.08404949307441711,0.002744584111496806,0.03468393161892891,3.9349167346954346,0.04044673178533052,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.941853,drift_before
20260716_211257,13785284342800,15.301,1,9011668,743368,telemetry_v1,1,0,-0.11253000050783157,-1.6448659896850586,9.663291931152344,0.0,-0.0010649999603629112,0.0,0.995842695236206,-0.084157794713974,0.003030733671039343,0.03472328931093216,3.93660044670105,0.04769850769085876,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,0.957154,drift_before
20260716_211257,13785343584200,59.2414,1,9011692,743370,telemetry_v1,1,0,-0.10534799844026566,-1.6328949928283691,9.680051803588867,0.0,-0.0010649999603629112,0.0010649999603629112,0.9958623051643372,-0.08394957333803177,0.0025822098832577467,0.03470130264759064,3.9385201930999756,0.040863790222028,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,1.0163954,drift_before
20260716_211257,13785374103600,30.5194,1,9011716,743372,telemetry_v1,1,0,-0.1173190027475357,-1.6496549844741821,9.66568660736084,0.0,0.0,0.0,0.9958146810531616,-0.08448450267314911,0.003014323767274618,0.03473455458879471,3.9378223419189453,0.04882421865397875,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,1.0469148,drift_before
20260716_211257,13785388519300,14.4157,1,9011741,743374,telemetry_v1,1,0,-0.11971300095319748,-1.6496549844741821,9.656108856201172,0.0010649999603629112,0.0,0.0021299999207258224,0.9958147406578064,-0.08446488529443741,0.0031651430763304234,0.0347667820751667,3.9400668144226074,0.05395275508466801,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,1.0613305,drift_before
20260716_211257,13785435224100,46.7048,1,9011765,743376,telemetry_v1,1,0,-0.11253000050783157,-1.6328949928283691,9.677658081054688,0.0010649999603629112,-0.0021299999207258224,0.0,0.9958559274673462,-0.08397447317838669,0.0031718991231173277,0.03477463126182556,3.941241502761841,0.054928145214754635,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,1.1080353,drift_before
20260716_211257,13785463515000,28.2909,1,9011789,743378,telemetry_v1,1,0,-0.11253000050783157,-1.6400779485702515,9.69681167602539,0.0010649999603629112,-0.0021299999207258224,0.0,0.9958920478820801,-0.08356744796037674,0.0028305111918598413,0.03475141152739525,3.942122220993042,0.04897814215507679,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,1.1363262,drift_before
20260716_211257,13785494320300,30.8053,1,9011814,743380,telemetry_v1,1,0,-0.08858799934387207,-1.6376830339431763,9.689628601074219,-0.0010649999603629112,-0.0010649999603629112,0.0,0.995880663394928,-0.08374841511249542,0.0021211751736700535,0.03469327092170715,3.9421308040618896,0.035484034281326966,,,,0,drift_before,drift_before,0,0,0,false,drift_before,stationary,true,1.1671315,drift_before
