frame_start,frames,status_flags,input_adc_time,current_time,output_dac_time,perf_counter_ns
0,512,0,139484.168054125,139484.262685625,139484.35488745832,139484263881750
512,512,0,139484.17872079168,139484.262685625,139484.365554125,139484263950083
1024,512,0,139484.18938745835,139484.262685625,139484.37622079166,139484264001708
1536,512,0,139484.20005412502,139484.262685625,139484.38688745833,139484264042041
2048,512,0,139484.21072079169,139484.262685625,139484.397554125,139484264086125
2560,512,0,139484.22138745835,139484.262685625,139484.40822079167,139484264129791
3072,512,0,139484.23205412502,139484.262685625,139484.41888745833,139484264171791
3584,512,0,139484.2427207917,139484.262685625,139484.429554125,139484264208916
4096,512,0,139484.253387458,139484.343941875,139484.44022079132,139484344139083
4608,512,0,139484.26405412468,139484.343941875,139484.450887458,139484344188125
5120,512,0,139484.27472079135,139484.343941875,139484.46155412466,139484344230541
5632,512,0,139484.28538745802,139484.343941875,139484.47222079133,139484344271500
6144,512,0,139484.2960541247,139484.343941875,139484.482887458,139484344314416
6656,512,0,139484.30672079136,139484.343941875,139484.49355412467,139484344356750
7168,512,0,139484.31738745802,139484.343941875,139484.50422079134,139484344401125
7680,512,0,139484.3280541247,139484.343941875,139484.514887458,139484344446833
8192,512,0,139484.338720791,139484.429416791,139484.52555412432,139484429687333
8704,512,0,139484.34938745768,139484.429416791,139484.536220791,139484429736125
9216,512,0,139484.36005412435,139484.429416791,139484.54688745766,139484429786333
9728,512,0,139484.37072079102,139484.429416791,139484.55755412433,139484429826125
10240,512,0,139484.3813874577,139484.429416791,139484.568220791,139484429863875
10752,512,0,139484.39205412436,139484.429416791,139484.57888745767,139484429905791
11264,512,0,139484.40272079103,139484.429416791,139484.58955412434,139484429943041
11776,512,0,139484.4133874577,139484.429416791,139484.600220791,139484429979125
12288,512,0,139484.42405412503,139484.51477466602,139484.61088745834,139484515083916
12800,512,0,139484.4347207917,139484.51477466602,139484.621554125,139484515134625
13312,512,0,139484.44538745837,139484.51477466602,139484.63222079168,139484515189708
13824,512,0,139484.45605412504,139484.51477466602,139484.64288745835,139484515227916
14336,512,0,139484.4667207917,139484.51477466602,139484.65355412502,139484515286583
14848,512,0,139484.47738745838,139484.51477466602,139484.6642207917,139484515328750
15360,512,0,139484.48805412505,139484.51477466602,139484.67488745836,139484515373875
