frame_start,frames,status_flags,input_adc_time,current_time,output_dac_time,perf_counter_ns
0,512,0,141911.09652912503,141911.18723454102,141911.28336245834,141911187699833
512,512,0,141911.1071957917,141911.18723454102,141911.294029125,141911187770250
1024,512,0,141911.11786245837,141911.18723454102,141911.30469579168,141911187816958
1536,512,0,141911.12852912504,141911.18723454102,141911.31536245835,141911187855625
2048,512,0,141911.1391957917,141911.18723454102,141911.32602912502,141911187895833
2560,512,0,141911.14986245838,141911.18723454102,141911.3366957917,141911187945208
3072,512,0,141911.16052912505,141911.18723454102,141911.34736245836,141911187985041
3584,512,0,141911.1711957917,141911.18723454102,141911.35802912503,141911188021708
4096,512,0,141911.18186245803,141911.27260608302,141911.36869579135,141911272859625
4608,512,0,141911.1925291247,141911.27260608302,141911.379362458,141911272909916
5120,512,0,141911.20319579137,141911.27260608302,141911.39002912468,141911272955083
5632,512,0,141911.21386245804,141911.27260608302,141911.40069579135,141911273007541
6144,512,0,141911.2245291247,141911.27260608302,141911.41136245802,141911273048041
6656,512,0,141911.23519579138,141911.27260608302,141911.4220291247,141911273092333
7168,512,0,141911.24586245805,141911.27260608302,141911.43269579136,141911273130416
7680,512,0,141911.25652912472,141911.27260608302,141911.44336245803,141911273174125
8192,512,0,141911.26719579104,141911.357887666,141911.45402912435,141911358150916
8704,512,0,141911.2778624577,141911.357887666,141911.46469579102,141911358201458
9216,512,0,141911.28852912437,141911.357887666,141911.47536245768,141911358249375
9728,512,0,141911.29919579104,141911.357887666,141911.48602912435,141911358290750
10240,512,0,141911.3098624577,141911.357887666,141911.49669579102,141911358329916
10752,512,0,141911.32052912438,141911.357887666,141911.5073624577,141911358372541
11264,512,0,141911.33119579105,141911.357887666,141911.51802912436,141911358412416
11776,512,0,141911.34186245772,141911.357887666,141911.52869579103,141911358449291
12288,512,0,141911.35252912503,141911.44315512502,141911.53936245834,141911443412458
12800,512,0,141911.3631957917,141911.44315512502,141911.550029125,141911443462708
13312,512,0,141911.37386245836,141911.44315512502,141911.56069579168,141911443512166
13824,512,0,141911.38452912503,141911.44315512502,141911.57136245834,141911443551166
14336,512,0,141911.3951957917,141911.44315512502,141911.582029125,141911443589250
14848,512,0,141911.40586245837,141911.44315512502,141911.59269579168,141911443631666
15360,512,0,141911.41652912504,141911.44315512502,141911.60336245835,141911443671208
15872,512,0,141911.4271957917,141911.44315512502,141911.61402912502,141911443708083
16384,512,0,141911.43786245803,141911.52853004102,141911.62469579134,141911528823000
16896,512,0,141911.4485291247,141911.52853004102,141911.635362458,141911528873666
17408,512,0,141911.45919579137,141911.52853004102,141911.64602912468,141911528927500
17920,512,0,141911.46986245803,141911.52853004102,141911.65669579135,141911528966125
18432,512,0,141911.4805291247,141911.52853004102,141911.667362458,141911529008625
18944,512,0,141911.49119579137,141911.52853004102,141911.67802912468,141911529055708
19456,512,0,141911.50186245804,141911.52853004102,141911.68869579135,141911529100250
19968,512,0,141911.5125291247,141911.52853004102,141911.69936245802,141911529137625
20480,512,0,141911.52319595803,141911.61370420802,141911.71002929134,141911613939958
20992,512,0,141911.5338626247,141911.61370420802,141911.720695958,141911613988000
21504,512,0,141911.54452929136,141911.61370420802,141911.73136262468,141911614036416
22016,512,0,141911.55519595803,141911.61370420802,141911.74202929134,141911614082791
22528,512,0,141911.5658626247,141911.61370420802,141911.752695958,141911614121666
23040,512,0,141911.57652929137,141911.61370420802,141911.76336262468,141911614164875
23552,512,0,141911.58719595804,141911.61370420802,141911.77402929135,141911614204125
24064,512,0,141911.5978626247,141911.61370420802,141911.78469595802,141911614248125
24576,512,0,141911.60852933303,141911.699073,141911.79536266634,141911699325833
