trial_id,condition_id,angle_sequence_index,angle_nominal_deg,angle_wrapped_deg,closure_measurement,speaker,repetition,expected_output_channel,expected_reference_output_channel,expected_input_channels,status,attempt_number,notes
brir_theta_070_spk_A_rep02,brir_theta_070_spk_A_rep02,7,70,70,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_080_spk_A_rep01,brir_theta_080_spk_A_rep01,8,80,80,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_080_spk_B_rep01,brir_theta_080_spk_B_rep01,8,80,80,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_080_spk_A_rep02,brir_theta_080_spk_A_rep02,8,80,80,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_080_spk_B_rep02,brir_theta_080_spk_B_rep02,8,80,80,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_090_spk_B_rep01,brir_theta_090_spk_B_rep01,9,90,90,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_090_spk_A_rep01,brir_theta_090_spk_A_rep01,9,90,90,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_090_spk_B_rep02,brir_theta_090_spk_B_rep02,9,90,90,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_090_spk_A_rep02,brir_theta_090_spk_A_rep02,9,90,90,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_100_spk_A_rep01,brir_theta_100_spk_A_rep01,10,100,100,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_100_spk_B_rep01,brir_theta_100_spk_B_rep01,10,100,100,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
