trajectory,angular_velocity_deg_s,sigma_deg,orientation_delay_ms,angular_velocity_delay_deg,pair_count,tir_improvement_db_mean,tir_improvement_db_sd,tir_improvement_db_median,tir_loss_vs_zero_delay_db_mean,tir_loss_vs_zero_delay_db_sd,tir_loss_vs_zero_delay_db_median,si_sdr_improvement_db_mean,si_sdr_improvement_db_sd,si_sdr_improvement_db_median,si_sdr_loss_vs_zero_delay_db_mean,si_sdr_loss_vs_zero_delay_db_sd,si_sdr_loss_vs_zero_delay_db_median,gain_error_rms_db_mean,gain_error_rms_db_sd,gain_error_rms_db_median,gain_error_peak_abs_db_mean,gain_error_peak_abs_db_sd,gain_error_peak_abs_db_median,transition_time_ms_mean,transition_time_ms_sd,transition_time_ms_median,transition_delay_vs_zero_ms_mean,transition_delay_vs_zero_ms_sd,transition_delay_vs_zero_ms_median
120_deg_s,120.0,10.0,0.0,0.0,10,9.547987811356258,0.38713710752809405,9.690303987041236,0.0,0.0,0.0,9.59198548911194,0.41088981007211883,9.71587721880107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.99999999999991,0.0,139.99999999999991,0.0,0.0,0.0
120_deg_s,120.0,10.0,20.0,2.4,10,9.507911602753305,0.40623948476936284,9.64354476306352,-0.040076208602953044,0.02089485498019579,-0.04237759199339308,9.551350328847455,0.4282673016407476,9.676508391061578,-0.040635160264482814,0.02126970871521749,-0.04301817064996705,0.3079469913497369,0.0,0.3079469913497369,2.0063765471175117,0.0,2.0063765471175117,159.99999999999991,0.0,159.99999999999991,20.0,0.0,20.0
120_deg_s,120.0,10.0,40.0,4.8,10,9.461927866996088,0.41877181492916443,9.585500131659192,-0.08605994436016999,0.037207817756768166,-0.09299700796721844,9.504992973203224,0.4388591227338958,9.632822195834946,-0.08699251590871375,0.03798100761502686,-0.09399274060530605,0.6063370543890464,0.0,0.6063370543890464,3.8899064530264087,0.0,3.8899064530264087,179.99999999999994,0.0,179.99999999999994,40.00000000000003,0.0,40.00000000000003
120_deg_s,120.0,10.0,80.0,9.6,10,9.280320294482799,0.42202407522334884,9.379304685920737,-0.2676675168734583,0.08601262105422659,-0.2920292607769426,9.322855895913742,0.4415613635168873,9.469259709070748,-0.26912959319819646,0.08608848685526335,-0.29345507454796627,1.1464441821100464,0.0,1.1464441821100464,6.920818694133757,0.0,6.920818694133757,219.99999999999997,0.0,219.99999999999997,80.00000000000006,0.0,80.00000000000006
120_deg_s,120.0,10.0,120.0,14.4,10,8.826756253679429,0.4263114058706537,8.846939633178792,-0.721231557676828,0.2902774357992857,-0.7284608297538862,8.86901557726697,0.45699127911355353,8.846048582241956,-0.7229699118449693,0.2877289581011041,-0.7384662323786477,1.594672936712172,0.0,1.594672936712172,8.75384374572153,0.0,8.75384374572153,260.0,0.0,260.0,120.00000000000009,0.0,120.00000000000009
120_deg_s,120.0,10.0,160.0,19.2,10,8.102616734147936,0.578011157678339,8.022571532196364,-1.4453710772083215,0.5915606387789244,-1.42930074696832,8.145448497306049,0.6150186729673286,8.024886281722267,-1.4465369918058908,0.5873839667408751,-1.4304266527667862,1.963534621017979,0.0,1.963534621017979,9.607497582194215,0.0,9.607497582194215,300.00000000000006,0.0,300.00000000000006,160.00000000000014,0.0,160.00000000000014
120_deg_s,120.0,10.0,200.0,24.0,10,7.316071941432565,0.7354571637773175,7.181024128754613,-2.2319158699236925,0.767805040280549,-2.395159088758528,7.359632074433124,0.7722021526581003,7.1547328128182315,-2.2323534146788147,0.765032441278363,-2.3926234515954863,2.2765701197172654,0.0,2.2765701197172654,9.907971372999295,0.0,9.907971372999295,340.00000000000006,0.0,340.00000000000006,200.00000000000014,0.0,200.00000000000014
120_deg_s,120.0,20.0,0.0,0.0,10,9.487164835022197,0.24235276604603068,9.589368961584682,0.0,0.0,0.0,9.533821406379788,0.2839996484622944,9.591079852222382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.00000000000011,0.0,120.00000000000011,0.0,0.0,0.0
120_deg_s,120.0,20.0,20.0,2.4,10,9.368924437953112,0.27568361825747456,9.434045686508398,-0.11824039706908618,0.04663302491859849,-0.13678406888403405,9.414964068125313,0.3194426263958783,9.433106660844901,-0.1188573382544762,0.04660720312198686,-0.13763101634687125,0.2432620650077159,0.0,0.2432620650077159,1.285529951268873,0.0,1.285529951268873,139.99999999999991,0.0,139.99999999999991,19.9999999999998,0.0,19.9999999999998
120_deg_s,120.0,20.0,40.0,4.8,10,9.224893946582524,0.3058359743666457,9.211211687032502,-0.2622708884396731,0.10486869472230526,-0.2998289988653049,9.270446728538397,0.3534224107243625,9.210039076411743,-0.26337467784139124,0.10462069818343682,-0.30129036951352406,0.48326841604037335,0.0,0.48326841604037335,2.53584415834515,0.0,2.53584415834515,159.99999999999991,0.0,159.99999999999991,39.9999999999998,0.0,39.9999999999998
120_deg_s,120.0,20.0,80.0,9.6,10,8.824509349349631,0.40716932705054654,8.682441265098438,-0.6626554856725676,0.282358884357979,-0.6947522119542393,8.869576268399216,0.4603935398819856,8.675952283805817,-0.6642451379805732,0.28103530751703143,-0.6979923475840057,0.9421584068361265,0.0,0.9421584068361265,4.807512249568463,0.0,4.807512249568463,199.99999999999994,0.0,199.99999999999994,79.99999999999983,0.0,79.99999999999983
120_deg_s,120.0,20.0,120.0,14.4,10,8.275018293227994,0.5693292289318591,8.045451693928676,-1.2121465417942032,0.48291622097323517,-1.3036995523079966,8.320043276680707,0.6236978021153149,8.057851946191116,-1.2137781296990826,0.47970999495263156,-1.3072657006870627,1.360002916207918,0.0,1.360002916207918,6.633434816754375,0.0,6.633434816754375,240.0,0.0,240.0,119.99999999999989,0.0,119.99999999999989
